,"(16.347453307518535, 48.175795107835704)","(16.306063307426022, 48.2244710079415)","(16.33485990749046, 48.18647560785937)","(16.437321207717943, 48.14339110775662)","(16.37543190758027, 48.202225407886274)","(16.434274407709545, 48.29484480806843)","(16.437110507717232, 48.17172900781501)","(16.416814407671126, 48.274647908029436)","(16.288538207387315, 48.206792507907494)","(16.267663107341004, 48.19985460789603)","(16.28567970738132, 48.18042720785359)","(16.360847207548247, 48.175038007832306)","(16.44943960774359, 48.259830907994434)","(16.40084560763678, 48.18658450785059)","(16.40840850765365, 48.174642407824976)","(16.35558860753663, 48.170731407824185)","(16.389733807611982, 48.20210890788408)","(16.38428960760046, 48.15096760777953)","(16.30895190743317, 48.168466307825774)","(16.254420307312014, 48.166939907829956)","(16.418660907676387, 48.17176520781766)","(16.387026507606336, 48.17064930781968)","(16.440134407724052, 48.156791007783816)","(16.36790500756398, 48.16787110781657)","(16.398927107632137, 48.222284807924325)","(16.431230807704235, 48.16946280781115)","(16.33719610749572, 48.18101590784784)","(16.42463440768895, 48.23481820794651)","(16.36013000754578, 48.24706800798062)","(16.24943910730087, 48.17221720784152)","(16.307113907428903, 48.18363040785731)","(16.38377460759882, 48.198342407877156)","(16.32910710747669, 48.260926208013345)","(16.380290907591416, 48.16932290781788)","(16.40939620765441, 48.294506808071226)","(16.289872507390918, 48.15815690780712)","(16.348906007520995, 48.236968507961386)","(16.376775107582805, 48.239098307961946)","(16.473865807798138, 48.21496860789885)","(16.40338170764132, 48.276493808035084)","(16.45054950774639, 48.2305831079342)","(16.448025507740535, 48.25342910798151)","(16.377539407584408, 48.24667230797739)","(16.39105240761417, 48.26161610800627)","(16.38174370759429, 48.20093200788277)","(16.26822020734257, 48.17616080784712)","(16.338922207499166, 48.21160120791056)","(16.328073107475912, 48.14249660776969)","(16.352760007529817, 48.216712007919206)","(16.419713507677553, 48.27477920802929)","(16.304270707422834, 48.16327720781576)","(16.361301807548948, 48.20166380788706)","(16.30515160742479, 48.16333350781572)","(16.281824507371912, 48.23978930797632)","(16.472191807794022, 48.25432770797996)","(16.41300360766267, 48.275526708031755)","(16.302961707418415, 48.271770908039194)","(16.31810980745326, 48.18779810786438)","(16.29810780740879, 48.19116050787401)","(16.432650307705984, 48.292508408063874)","(16.453671207753356, 48.22508010792246)","(16.303521507420896, 48.18534600786132)","(16.303477507420798, 48.18540590786144)","(16.392242307617607, 48.19658450787239)","(16.361339807549243, 48.184043007850796)","(16.387175907606675, 48.168512707815275)","(16.369804907567584, 48.22019260792403)","(16.32141420745986, 48.24319770797795)","(16.461742307771313, 48.21590190790248)","(16.369208807566515, 48.19875060787998)","(16.459279507765316, 48.265216608004145)","(16.464974407778012, 48.25755200798759)","(16.29623510740513, 48.15133290779218)","(16.433354607708605, 48.20344400788079)","(16.365408807558428, 48.16885620781896)","(16.461068307769526, 48.24373300795974)","(16.300076307412983, 48.20525760790279)","(16.43409200770916, 48.29397760806669)","(16.428925907699206, 48.16177300779562)","(16.43760660771694, 48.29423020806671)","(16.227661407251816, 48.21303440792849)","(16.44691030773792, 48.26513590800571)","(16.493298107840932, 48.233289307933795)","(16.397329807629394, 48.14547090776641)","(16.271088607348624, 48.199823707895504)","(16.435521607713856, 48.15607770778301)","(16.34429070751064, 48.244449007977394)","(16.364019407555453, 48.158711807798234)","(16.43637940771421, 48.295336308069146)","(16.35759750754008, 48.252100407991314)","(16.319133107455844, 48.16180730781071)","(16.29836180740987, 48.150137807789434)","(16.283564407376865, 48.161096907814006)","(16.28115910737033, 48.2468317079909)","(16.452980707751315, 48.27022190801528)","(16.30823220743085, 48.22332590793887)","(16.20863000720961, 48.20193670790818)","(16.46105680776956, 48.237765707947496)","(16.307887407429877, 48.23792730796895)","(16.346175007516113, 48.13679910775549)"
Elapsed time,68.45803570747375,40.39818024635315,78.59447383880615,4.218446969985962,65.14608812332153,13.988415479660034,13.208355188369751,29.026479721069336,37.84929347038269,24.91871666908264,26.102453470230103,50.774811029434204,20.452016353607178,41.24847674369812,46.40652108192444,57.47595834732056,61.781495332717896,31.599163055419922,49.29940938949585,18.613591194152832,43.83563852310181,54.76532745361328,9.354116678237915,63.97413086891174,45.11438822746277,14.807998895645142,84.2054533958435,28.2562153339386,42.813185930252075,18.156596899032593,68.07807469367981,63.58665370941162,17.60658597946167,51.94910979270935,9.72937560081482,30.116527318954468,57.658751249313354,43.677350759506226,12.444918632507324,15.205488204956055,22.528605699539185,14.493770837783813,38.97982954978943,15.449575424194336,60.69580864906311,28.464828729629517,73.91548895835876,25.291534185409546,52.698776960372925,28.929691791534424,22.52834439277649,78.26838064193726,41.08533978462219,29.42406415939331,17.518173694610596,23.22475552558899,2.584642171859741,62.907429695129395,55.93651747703552,6.671479225158691,10.956284761428833,51.072150230407715,50.06327962875366,53.60624957084656,70.97862768173218,63.25449585914612,57.89424729347229,36.34586954116821,8.986533164978027,83.56480646133423,12.112152814865112,30.12249493598938,24.843451023101807,9.019575595855713,66.17028331756592,17.24124240875244,50.97839570045471,11.855226755142212,31.917358875274658,4.506511211395264,11.369441270828247,17.80089521408081,6.910874128341675,22.320385694503784,34.09902334213257,13.55409550666809,52.60848784446716,32.42410397529602,5.332643985748291,18.93003249168396,43.49669671058655,21.216205835342407,27.89305591583252,13.44588828086853,21.240065097808838,38.146519899368286,3.330667018890381,17.546645879745483,38.03080654144287,8.544404983520508
Number of paths,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
Average paths badness,4277.459574876506,4419.521596239863,4520.1774303304865,,,,,,,,,4452.039835284229,,,4596.245243951273,,4195.345643554293,,,,,,,4326.737605945956,,,4631.8474428588115,,,,,4196.025407703488,4787.865405939474,,,,4517.2866798489595,,4257.443044207495,,,,,,4477.490053591391,,,,,,,,4113.476898134491,4450.799082787311,,,,4291.140761279353,,,,4336.010611074398,4335.038337548991,,,4526.609884181961,4074.597426059796,,,4255.0638184009185,,4615.646893169485,4480.707602267331,,4348.728304891377,,4460.170308223063,,,,4759.670038531645,4137.312103276554,,,4498.985741666762,,4471.2738164993225,4331.8595554117355,,,4506.439580994478,,,,,4450.676945802554,,,4435.643602237975,
Avg. number of stoplights,91.0,78.0,49.0,,,,,,,,,69.0,,,31.0,,89.5,,,,,,,77.0,,,31.333333333333332,,,,,97.5,0.0,,,,49.0,,56.0,,,,,,51.0,,,,,,,,80.66666666666667,59.25,,,,89.0,,,,73.75,73.75,,,44.5,102.5,,,69.0,,24.0,42.0,,89.0,,55.0,,,,10.0,46.0,,,39.0,,59.25,88.0,,,49.0,,,,,70.0,,,50.5,
Avg. number of steps,0.0,0.0,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,
Avg. number of paved edges,142.0,154.0,119.0,,,,,,,,,122.0,,,63.0,,187.0,,,,,,,139.5,,,130.66666666666666,,,,,173.0,32.0,,,,88.0,,98.0,,,,,,140.0,,,,,,,,153.33333333333334,117.5,,,,136.0,,,,110.75,110.75,,,88.5,139.5,,,167.0,,55.0,84.66666666666667,,153.5,,122.0,,,,68.0,88.0,,,70.0,,129.5,167.5,,,91.0,,,,,153.0,,,76.0,
Avg. number of unpaved edges,2.0,0.0,1.5,,,,,,,,,4.0,,,2.0,,0.0,,,,,,,3.0,,,2.3333333333333335,,,,,1.0,7.0,,,,0.0,,0.0,,,,,,2.0,,,,,,,,0.0,1.5,,,,5.5,,,,7.25,7.5,,,2.0,0.5,,,0.0,,2.0,1.0,,1.5,,0.0,,,,10.0,0.0,,,0.0,,0.0,1.0,,,2.0,,,,,2.0,,,7.0,
Avg. number of edges with unknown surface,144.0,145.0,142.0,,,,,,,,,156.0,,,132.0,,123.0,,,,,,,128.0,,,134.0,,,,,122.0,101.0,,,,133.0,,117.0,,,,,,141.0,,,,,,,,119.66666666666667,94.0,,,,126.0,,,,127.5,130.5,,,94.0,112.5,,,111.0,,130.0,137.33333333333334,,160.0,,120.0,,,,111.0,103.0,,,144.0,,124.5,139.0,,,99.0,,,,,126.0,,,124.5,
