,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,20.207945823669434,33.255791902542114,71.83317184448242,9.666056394577026,7.625610113143921,117.5291805267334,21.388784170150757,18.70840883255005,23.14663815498352,22.808222770690918,21.27947974205017,9.953388929367065,64.1523585319519,34.595560789108276,26.57325839996338,10.257477760314941,46.268006324768066,26.62177062034607,23.898460388183594,6.744234323501587
Number of paths,0.0,1.0,3.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
Average paths badness,,3015.686935951686,3063.981769095362,,,2832.3347565117406,,2960.983926824792,,,,,2917.4037553052713,,3008.5416092443884,,2923.3541233676406,,,3186.5510017589713
Avg. number of stoplights,,38.0,19.666666666666668,,,64.36363636363636,,20.666666666666668,,,,,49.333333333333336,,31.0,,45.0,,,4.5
Avg. number of steps,,0.0,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,,,0.0
Avg. number of paved edges,,97.0,71.0,,,127.36363636363636,,51.333333333333336,,,,,132.44444444444446,,79.0,,98.5,,,33.0
Avg. number of unpaved edges,,6.0,16.666666666666668,,,0.09090909090909091,,3.3333333333333335,,,,,0.4444444444444444,,4.0,,2.0,,,5.0
Avg. number of edges with unknown surface,,119.0,95.0,,,82.63636363636364,,68.66666666666667,,,,,82.33333333333333,,87.0,,75.5,,,76.5
