,Avoid,Paved
50,170.5217129997145,177.35586857046195
60,170.5217129997145,177.32700527792665
70,153.64269519935786,178.14822858613311
80,153.1270592089462,182.6044354188885
90,153.1270592089462,182.6044354188885
100,161.87668736265107,172.54807261205738
110,173.1325869978322,172.33036360202533
120,173.1325869978322,172.33036360202533
130,173.1325869978322,181.09108951048984
140,173.1325869978322,181.09108951048984
150,190.24457716937772,181.09108951048984
160,191.18907519725266,181.09108951048984
170,190.24457716937772,192.4574365056119
180,190.24457716937772,210.76484523436739
190,190.24457716937772,210.76484523436739
200,190.24457716937772,0.0
210,190.24457716937772,0.0
220,190.24457716937772,0.0
230,190.24457716937772,0.0
240,190.24457716937772,0.0
250,190.24457716937772,200.50391609618418
260,190.24457716937772,0.0
270,190.24457716937772,0.0
280,190.24457716937772,0.0
290,190.24457716937772,0.0
300,190.24457716937772,0.0
