,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,16.972347497940063,32.05692720413208,51.54895377159119,10.26377248764038,6.753220081329346,67.77602338790894,17.02300524711609,21.673500299453735,11.560769081115723,16.0081844329834,28.45703649520874,10.752130508422852,32.97589993476868,30.47925853729248,26.61610984802246,9.332998991012573,26.391939640045166,27.035937070846558,17.49369788169861,12.165318727493286
Number of paths,0.0,5.0,6.0,0.0,0.0,9.0,0.0,10.0,1.0,4.0,3.0,1.0,8.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0
Average paths badness,,104.55370895541164,109.69127896240995,,,151.5788273732564,,130.38133057533088,39.376573439734784,85.20402385857415,103.10569421651114,78.6270186116435,132.99296019967596,25.87922549903851,35.073954799912826,,175.06227107362793,92.24175712852411,,22.440816746646306
Avg. number of stoplights,,29.0,28.5,,,38.77777777777778,,19.2,16.0,19.5,25.0,21.0,30.125,14.0,9.666666666666666,,39.0,19.0,,5.5
Avg. number of steps,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Avg. number of paved edges,,91.6,109.0,,,111.55555555555556,,60.6,94.0,66.0,72.66666666666667,66.0,128.25,64.0,65.0,,83.0,60.0,,33.5
Avg. number of unpaved edges,,11.0,1.0,,,0.3333333333333333,,1.0,0.0,1.0,3.0,2.0,0.5,2.0,6.666666666666667,,1.0,1.0,,4.25
Avg. number of edges with unknown surface,,108.8,105.0,,,94.77777777777777,,78.2,89.0,87.0,104.33333333333333,114.0,85.0,116.0,107.0,,83.0,77.0,,78.75
