,Neutral,Avoid,Paved,Mean,Mean Change
0,427.9968891143799,427.9968891143799,476.0005052089691,443.998094479243,
5,396.89780950546265,396.89780950546265,441.51165199279785,411.7690903345744,-32.22900414466858
10,334.88066363334656,334.88066363334656,373.39977979660034,347.72036902109784,-64.04872131347656
15,308.0236704349518,308.0236704349518,334.9823782444,317.0099063714345,-30.710462649663327
20,274.6973829269409,274.6973829269409,301.0926010608673,283.49578897158307,-33.51411739985144
25,264.5518684387207,264.5518684387207,278.6413493156433,269.2483620643616,-14.247426907221495
30,254.33094573020935,254.33094573020935,268.05976128578186,258.90721758206683,-10.341144482294737
35,242.22941303253174,242.22941303253174,255.3620889186859,246.6069716612498,-12.300245920817048
40,235.86639189720154,235.86639189720154,256.2630548477173,242.66527954737344,-3.9416921138763428
45,230.79279112815857,230.79279112815857,245.2993791103363,235.62832045555115,-7.036959091822297
50,216.99407625198364,216.99407625198364,239.52273678779602,224.5036297639211,-11.124690691630036
