,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,11.559769630432129,7.92331862449646,19.183438539505005,5.101548671722412,10.251365423202515,23.879847764968872,6.787004232406616,5.356774568557739,5.76003623008728,9.740687847137451,10.796489953994751,5.1885905265808105,8.60518193244934,12.517326354980469,10.09354853630066,6.397675037384033,10.830702304840088,12.555413246154785,3.559459924697876,1.6445949077606201
Number of paths,4.0,4.0,11.0,3.0,0.0,15.0,1.0,3.0,2.0,6.0,1.0,2.0,6.0,8.0,5.0,4.0,5.0,3.0,1.0,0.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of stoplights,13.75,4.0,14.818181818181818,3.3333333333333335,0.0,25.466666666666665,8.0,6.0,12.5,6.5,2.0,11.0,19.5,6.5,4.8,4.75,19.0,3.3333333333333335,17.0,0.0
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of paved edges,38.25,52.5,42.45454545454545,10.333333333333334,0.0,68.0,38.0,29.666666666666668,72.0,17.166666666666668,23.0,49.5,81.5,25.625,33.2,19.75,68.0,18.666666666666668,37.0,0.0
Avg. number of unpaved edges,0.0,5.75,0.09090909090909091,0.6666666666666666,0.0,0.0,5.0,0.6666666666666666,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.25,1.0,0.3333333333333333,0.0,0.0
Avg. number of edges with unknown surface,37.75,64.5,55.18181818181818,41.333333333333336,0.0,49.733333333333334,61.0,44.333333333333336,51.0,49.833333333333336,50.0,47.0,41.0,45.625,53.4,37.0,45.6,54.0,34.0,0.0
