,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,6.376004695892334,3.6112093925476074,9.888131856918335,3.0898869037628174,6.138433218002319,11.585903882980347,4.034318685531616,2.4158668518066406,4.126642465591431,6.164868354797363,5.7236328125,3.6245837211608887,4.13962197303772,5.456317186355591,8.222434997558594,3.5815389156341553,5.316535711288452,6.136600732803345,4.344370365142822,3.190286159515381
Number of paths,2.0,0.0,10.0,2.0,0.0,8.0,3.0,1.0,0.0,4.0,1.0,0.0,3.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0
Average paths badness,1493.8368403071695,0.0,1486.838170444089,1583.840874453093,0.0,1424.8831306472057,1490.3414257199918,1490.1359042103359,0.0,1515.2287644296814,1587.40335621962,0.0,1522.0534769391973,1554.7552211095594,1563.3511926769916,1557.4075417419667,1454.461750254882,1601.3334332521572,0.0,0.0
Avg. number of stoplights,17.0,0.0,20.9,3.0,0.0,28.5,18.666666666666668,10.0,0.0,12.5,0.0,0.0,14.666666666666666,11.0,6.0,7.5,24.0,2.0,0.0,0.0
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of paved edges,38.5,0.0,42.1,9.5,0.0,70.5,47.333333333333336,34.0,0.0,20.25,14.0,0.0,82.0,28.0,24.0,11.5,64.0,29.0,0.0,0.0
Avg. number of unpaved edges,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
Avg. number of edges with unknown surface,44.5,0.0,51.4,39.5,0.0,49.625,57.333333333333336,38.0,0.0,49.0,55.0,0.0,36.333333333333336,56.25,45.0,36.0,39.333333333333336,63.0,0.0,0.0
