,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,22.15507960319519,42.20188808441162,59.61423850059509,9.960871458053589,7.098490476608276,84.62421202659607,21.786163568496704,25.64914870262146,12.481510639190674,20.823199033737183,30.038951635360718,14.002198457717896,44.61970329284668,34.56566643714905,34.83885145187378,9.464938879013062,36.132965326309204,30.38872218132019,23.809457778930664,12.635274410247803
Number of paths,1.0,6.0,9.0,1.0,0.0,7.0,0.0,6.0,0.0,7.0,1.0,2.0,13.0,0.0,5.0,0.0,1.0,1.0,3.0,5.0
Average paths badness,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
Avg. number of stoplights,31.0,35.333333333333336,38.333333333333336,16.0,,49.285714285714285,,16.5,,29.0,19.0,16.5,46.0,,11.4,,41.0,19.0,19.333333333333332,7.0
Avg. number of steps,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
Avg. number of paved edges,39.0,96.5,102.55555555555556,17.0,,127.42857142857143,,55.0,,58.42857142857143,61.0,61.5,134.46153846153845,,58.2,,83.0,60.0,40.0,35.0
Avg. number of unpaved edges,0.0,10.0,0.7777777777777778,2.0,,0.0,,1.6666666666666667,,0.7142857142857143,4.0,6.0,0.9230769230769231,,3.4,,1.0,1.0,1.0,4.4
Avg. number of edges with unknown surface,59.0,107.33333333333333,98.55555555555556,76.0,,76.57142857142857,,84.5,,85.71428571428571,121.0,98.5,75.6923076923077,,98.8,,83.0,77.0,71.0,77.2
