,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,15.715503931045532,12.109037160873413,23.511199235916138,6.099008083343506,12.923363208770752,28.363329887390137,9.744971990585327,4.4331371784210205,4.754973649978638,10.808615684509277,11.731025695800781,4.416215181350708,10.865986585617065,15.979533195495605,13.066887855529785,7.706123113632202,13.755951881408691,17.34557032585144,5.164861440658569,1.745377779006958
Number of paths,6.0,6.0,16.0,3.0,0.0,16.0,1.0,3.0,2.0,14.0,1.0,3.0,5.0,9.0,7.0,4.0,7.0,3.0,1.0,0.0
Average paths badness,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Avg. number of stoplights,14.0,3.8333333333333335,16.9375,3.3333333333333335,,25.0625,8.0,6.0,12.5,10.357142857142858,2.0,11.333333333333334,19.2,6.222222222222222,7.857142857142857,4.75,18.857142857142858,3.3333333333333335,17.0,
Avg. number of steps,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Avg. number of paved edges,38.0,52.5,41.0625,10.333333333333334,,69.6875,38.0,29.666666666666668,72.0,18.142857142857142,23.0,50.333333333333336,86.2,24.555555555555557,39.857142857142854,19.75,73.71428571428571,18.666666666666668,37.0,
Avg. number of unpaved edges,0.16666666666666666,5.666666666666667,0.0625,0.6666666666666666,,0.0,5.0,0.6666666666666666,0.0,0.07142857142857142,1.0,0.0,0.0,0.0,0.2857142857142857,0.25,0.7142857142857143,0.3333333333333333,0.0,
Avg. number of edges with unknown surface,37.0,64.66666666666667,54.875,41.333333333333336,,49.5625,61.0,44.333333333333336,51.0,45.92857142857143,50.0,46.0,36.2,44.888888888888886,54.57142857142857,37.0,44.42857142857143,54.0,34.0,
