,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,16.943817138671875,30.63005018234253,46.30549907684326,10.784321308135986,7.204885005950928,61.01753902435303,15.655372858047485,19.338502645492554,11.037271738052368,16.709532499313354,22.43153953552246,10.201108932495117,34.585272550582886,31.014254331588745,25.702967405319214,9.169667720794678,28.600756883621216,22.265581130981445,17.893864631652832,9.666833400726318
Number of paths,0.0,4.0,6.0,1.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0
Average paths badness,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0
Avg. number of stoplights,,35.0,33.833333333333336,16.0,,54.333333333333336,,15.75,,23.5,,16.5,42.8,,12.666666666666666,,,19.0,28.0,6.333333333333333
Avg. number of steps,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0
Avg. number of paved edges,,92.5,99.83333333333333,17.0,,129.66666666666666,,51.25,,54.0,,61.5,129.8,,58.333333333333336,,,60.0,52.5,25.666666666666668
Avg. number of unpaved edges,,11.5,1.1666666666666667,2.0,,0.0,,2.5,,1.25,,6.0,1.4,,5.0,,,1.0,0.5,4.0
Avg. number of edges with unknown surface,,112.75,99.33333333333333,76.0,,73.0,,89.0,,84.25,,98.5,74.4,,98.33333333333333,,,77.0,79.5,77.0
