,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,60.38796806335449,28.94976282119751,48.84260296821594,9.804605484008789,17.706584453582764,9.249625444412231,31.732312202453613,29.280719757080078,85.64245200157166,29.319746494293213
Number of paths,17.0,6.0,1.0,1.0,1.0,0.0,4.0,13.0,17.0,0.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Avg. number of stoplights,44.705882352941174,16.5,18.0,16.0,26.0,,24.25,27.615384615384617,31.88235294117647,
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Avg. number of paved edges,134.23529411764707,55.0,89.0,21.0,74.0,,47.0,54.76923076923077,93.82352941176471,
Avg. number of unpaved edges,0.8235294117647058,1.6666666666666667,0.0,0.0,0.0,,0.25,0.6923076923076923,5.352941176470588,
Avg. number of edges with unknown surface,77.94117647058823,84.5,110.0,66.0,66.0,,80.5,85.61538461538461,98.41176470588235,
