,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,352.37953996658325,149.57756686210632,203.70075607299805,73.23354744911194,143.81546831130981,63.571956396102905,114.08659625053406,158.76776146888733,348.96710777282715,219.7261335849762
Number of paths,11.0,13.0,8.0,1.0,1.0,2.0,1.0,4.0,9.0,4.0
Average paths badness,199.7633784369824,103.16838053065825,180.19772002089053,146.86630116198467,130.7407175878543,103.38942798778771,95.6183545467502,110.16054578534477,222.04410083981142,151.26219861544814
Avg. number of stoplights,45.63636363636363,20.46153846153846,47.375,26.0,16.0,19.5,12.0,27.75,56.44444444444444,48.75
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of paved edges,150.45454545454547,93.61538461538461,122.75,68.0,42.0,79.0,40.0,109.75,159.11111111111111,194.25
Avg. number of unpaved edges,2.6363636363636362,5.153846153846154,1.75,1.0,2.0,0.0,0.0,0.75,2.3333333333333335,0.25
Avg. number of edges with unknown surface,122.18181818181819,127.6923076923077,132.625,126.0,99.0,127.0,101.0,123.75,154.66666666666666,124.75
