,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,41.13223457336426,85.01811289787292,123.72107338905334,18.657031297683716,12.34691572189331,176.46791005134583,42.88195490837097,34.97962164878845,28.075058221817017,40.87545990943909,63.43523144721985,19.267306804656982,88.59229588508606,70.61134624481201,73.7566397190094,15.08749794960022,69.6224262714386,60.149638652801514,43.72451186180115,18.195976495742798
Number of paths,2.0,9.0,17.0,1.0,0.0,17.0,1.0,7.0,4.0,13.0,8.0,2.0,17.0,1.0,13.0,1.0,1.0,1.0,5.0,8.0
Average paths badness,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of stoplights,27.5,31.88888888888889,31.941176470588236,16.0,,54.411764705882355,44.0,14.714285714285714,24.75,27.615384615384617,23.25,16.5,43.8235294117647,18.0,19.692307692307693,16.0,35.0,19.0,19.8,6.5
Avg. number of steps,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of paved edges,41.5,91.11111111111111,91.6470588235294,17.0,,124.47058823529412,129.0,52.42857142857143,75.25,54.76923076923077,63.5,61.5,132.76470588235293,89.0,69.92307692307692,21.0,69.0,60.0,40.6,35.25
Avg. number of unpaved edges,0.0,9.0,5.470588235294118,2.0,,0.11764705882352941,1.0,2.2857142857142856,0.5,0.6923076923076923,0.625,6.0,0.6470588235294118,0.0,4.384615384615385,0.0,2.0,1.0,0.6,4.875
Avg. number of edges with unknown surface,67.0,111.33333333333333,98.23529411764706,76.0,,87.17647058823529,93.0,83.57142857142857,71.25,85.61538461538461,102.75,98.5,76.82352941176471,110.0,96.0,66.0,105.0,77.0,75.2,78.125
