,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,8.113877296447754,8.037213563919067,14.494258642196655,4.320133447647095,6.4942872524261475,16.995255708694458,6.310155391693115,5.050186634063721,4.06415867805481,5.751054286956787,6.088934659957886,5.525207757949829,8.179370880126953,8.551528692245483,8.773404836654663,6.6428163051605225,10.77956223487854,7.294679880142212,3.01340913772583,3.358863592147827
Number of paths,0.0,3.0,5.0,2.0,0.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0
Average paths badness,,95.24488211551822,76.78453494699298,111.97982854033899,,45.55355547349063,97.08217959181184,59.831395162435,45.06231517211336,106.24855634066625,101.57949635302884,48.79411176512318,38.083081027278425,86.39068685133452,84.34529843361315,96.20274482073364,46.94586180974026,102.28460605391683,61.73322110123081,
Avg. number of stoplights,,4.666666666666667,11.2,3.0,,28.0,8.0,10.0,13.5,7.666666666666667,0.0,18.333333333333332,18.8,8.0,5.0,0.0,21.666666666666668,0.0,17.0,
Avg. number of steps,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Avg. number of paved edges,,48.666666666666664,40.8,9.5,,67.0,41.0,38.0,75.0,17.666666666666668,16.0,53.0,82.8,26.0,33.0,14.0,77.0,13.0,39.0,
Avg. number of unpaved edges,,7.666666666666667,0.0,0.5,,0.0,6.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.2,0.0,0.0,0.0,1.6666666666666667,1.0,0.0,
Avg. number of edges with unknown surface,,67.0,49.0,38.5,,51.0,60.0,38.0,48.0,50.666666666666664,58.0,46.666666666666664,38.4,49.0,46.5,28.0,50.666666666666664,36.0,30.0,
