,"(16.347453307518535, 48.175795107835704)","(16.306063307426022, 48.2244710079415)","(16.33485990749046, 48.18647560785937)","(16.437321207717943, 48.14339110775662)","(16.37543190758027, 48.202225407886274)","(16.434274407709545, 48.29484480806843)","(16.437110507717232, 48.17172900781501)","(16.416814407671126, 48.274647908029436)","(16.288538207387315, 48.206792507907494)","(16.267663107341004, 48.19985460789603)","(16.28567970738132, 48.18042720785359)","(16.360847207548247, 48.175038007832306)","(16.44943960774359, 48.259830907994434)","(16.40084560763678, 48.18658450785059)","(16.40840850765365, 48.174642407824976)","(16.35558860753663, 48.170731407824185)","(16.389733807611982, 48.20210890788408)","(16.38428960760046, 48.15096760777953)","(16.30895190743317, 48.168466307825774)","(16.254420307312014, 48.166939907829956)","(16.418660907676387, 48.17176520781766)","(16.387026507606336, 48.17064930781968)","(16.440134407724052, 48.156791007783816)","(16.36790500756398, 48.16787110781657)","(16.398927107632137, 48.222284807924325)","(16.431230807704235, 48.16946280781115)","(16.33719610749572, 48.18101590784784)","(16.42463440768895, 48.23481820794651)","(16.36013000754578, 48.24706800798062)","(16.24943910730087, 48.17221720784152)","(16.307113907428903, 48.18363040785731)","(16.38377460759882, 48.198342407877156)","(16.32910710747669, 48.260926208013345)","(16.380290907591416, 48.16932290781788)","(16.40939620765441, 48.294506808071226)","(16.289872507390918, 48.15815690780712)","(16.348906007520995, 48.236968507961386)","(16.376775107582805, 48.239098307961946)","(16.473865807798138, 48.21496860789885)","(16.40338170764132, 48.276493808035084)","(16.45054950774639, 48.2305831079342)","(16.448025507740535, 48.25342910798151)","(16.377539407584408, 48.24667230797739)","(16.39105240761417, 48.26161610800627)","(16.38174370759429, 48.20093200788277)","(16.26822020734257, 48.17616080784712)","(16.338922207499166, 48.21160120791056)","(16.328073107475912, 48.14249660776969)","(16.352760007529817, 48.216712007919206)","(16.419713507677553, 48.27477920802929)","(16.304270707422834, 48.16327720781576)","(16.361301807548948, 48.20166380788706)","(16.30515160742479, 48.16333350781572)","(16.281824507371912, 48.23978930797632)","(16.472191807794022, 48.25432770797996)","(16.41300360766267, 48.275526708031755)","(16.302961707418415, 48.271770908039194)","(16.31810980745326, 48.18779810786438)","(16.29810780740879, 48.19116050787401)","(16.432650307705984, 48.292508408063874)","(16.453671207753356, 48.22508010792246)","(16.303521507420896, 48.18534600786132)","(16.303477507420798, 48.18540590786144)","(16.392242307617607, 48.19658450787239)","(16.361339807549243, 48.184043007850796)","(16.387175907606675, 48.168512707815275)","(16.369804907567584, 48.22019260792403)","(16.32141420745986, 48.24319770797795)","(16.461742307771313, 48.21590190790248)","(16.369208807566515, 48.19875060787998)","(16.459279507765316, 48.265216608004145)","(16.464974407778012, 48.25755200798759)","(16.29623510740513, 48.15133290779218)","(16.433354607708605, 48.20344400788079)","(16.365408807558428, 48.16885620781896)","(16.461068307769526, 48.24373300795974)","(16.300076307412983, 48.20525760790279)","(16.43409200770916, 48.29397760806669)","(16.428925907699206, 48.16177300779562)","(16.43760660771694, 48.29423020806671)","(16.227661407251816, 48.21303440792849)","(16.44691030773792, 48.26513590800571)","(16.493298107840932, 48.233289307933795)","(16.397329807629394, 48.14547090776641)","(16.271088607348624, 48.199823707895504)","(16.435521607713856, 48.15607770778301)","(16.34429070751064, 48.244449007977394)","(16.364019407555453, 48.158711807798234)","(16.43637940771421, 48.295336308069146)","(16.35759750754008, 48.252100407991314)","(16.319133107455844, 48.16180730781071)","(16.29836180740987, 48.150137807789434)","(16.283564407376865, 48.161096907814006)","(16.28115910737033, 48.2468317079909)","(16.452980707751315, 48.27022190801528)","(16.30823220743085, 48.22332590793887)","(16.20863000720961, 48.20193670790818)","(16.46105680776956, 48.237765707947496)","(16.307887407429877, 48.23792730796895)","(16.346175007516113, 48.13679910775549)"
Elapsed time,2.161067485809326,5.280810832977295,3.992696523666382,2.2768425941467285,7.963639497756958,4.821285247802734,2.167004346847534,2.6341757774353027,2.153092622756958,1.8598406314849854,3.2208619117736816,4.657628774642944,4.256900072097778,2.5473952293395996,4.450747966766357,5.511054515838623,3.7618536949157715,9.646583557128906,2.102098226547241,2.853235960006714,4.890707969665527,5.566335678100586,2.3066892623901367,4.164257049560547,3.1275861263275146,3.0795698165893555,3.994595766067505,1.1389966011047363,1.7685222625732422,0.9734158515930176,5.382556200027466,4.037002325057983,0.8863096237182617,6.659479856491089,1.025514841079712,4.085534572601318,3.6697962284088135,1.839735746383667,4.701782703399658,2.364625930786133,5.854182004928589,2.744251251220703,1.0708487033843994,2.5063540935516357,4.8202455043792725,1.9414737224578857,4.579035520553589,1.3478927612304688,6.048457860946655,2.419724702835083,1.866980791091919,4.532371759414673,2.1761786937713623,1.4171216487884521,2.6640892028808594,3.2702865600585938,2.640902519226074,1.0283551216125488,3.301640748977661,5.745599031448364,4.3122289180755615,4.880559921264648,4.758122205734253,4.74369478225708,3.285935163497925,5.857625246047974,1.3448700904846191,4.37665057182312,2.186326026916504,5.517833948135376,1.6098053455352783,0.9971883296966553,2.861003875732422,0.9485247135162354,4.415863275527954,1.138329029083252,2.1239492893218994,2.763871192932129,4.163474082946777,1.5228972434997559,3.3052613735198975,2.818354368209839,3.0843324661254883,7.3193652629852295,2.2486722469329834,3.5731091499328613,2.063849449157715,4.203457355499268,2.5429906845092773,3.217792272567749,1.876164197921753,4.545321464538574,1.8159918785095215,1.040086030960083,4.3252112865448,6.60286545753479,0.9322628974914551,1.304020643234253,1.1614069938659668,1.9117043018341064
Number of paths,1.0,16.0,13.0,8.0,16.0,1.0,5.0,2.0,15.0,3.0,2.0,23.0,7.0,10.0,8.0,17.0,24.0,31.0,7.0,2.0,26.0,19.0,2.0,13.0,15.0,13.0,27.0,0.0,1.0,0.0,13.0,13.0,0.0,28.0,1.0,8.0,1.0,3.0,8.0,1.0,13.0,4.0,0.0,5.0,14.0,9.0,10.0,2.0,11.0,0.0,10.0,6.0,10.0,3.0,0.0,9.0,1.0,1.0,1.0,5.0,4.0,16.0,15.0,6.0,14.0,17.0,0.0,11.0,10.0,6.0,3.0,1.0,8.0,0.0,33.0,0.0,7.0,0.0,4.0,0.0,4.0,10.0,0.0,14.0,9.0,10.0,6.0,10.0,0.0,2.0,5.0,1.0,4.0,0.0,9.0,17.0,0.0,2.0,1.0,4.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Avg. number of stoplights,0.0,1.625,13.538461538461538,0.0,13.875,0.0,0.4,3.5,1.2666666666666666,3.3333333333333335,0.0,1.2173913043478262,2.7142857142857144,12.6,1.5,1.411764705882353,7.0,3.2580645161290325,5.714285714285714,0.0,0.7692307692307693,3.6842105263157894,0.0,3.0,5.733333333333333,0.46153846153846156,4.814814814814815,,2.0,,0.0,5.076923076923077,,4.821428571428571,0.0,1.875,8.0,9.0,0.25,8.0,5.846153846153846,8.75,,0.0,6.142857142857143,0.0,10.0,3.5,8.727272727272727,,0.2,11.166666666666666,0.0,0.0,,1.5555555555555556,0.0,5.0,5.0,0.0,4.0,2.625,2.933333333333333,3.6666666666666665,11.214285714285714,7.529411764705882,,5.090909090909091,0.0,14.333333333333334,5.666666666666667,3.0,8.75,,1.0,,1.7142857142857142,,2.0,,0.0,5.7,,1.0,1.3333333333333333,0.0,7.5,3.6,,0.0,6.0,12.0,2.25,,0.6666666666666666,1.2941176470588236,,13.0,0.0,0.0
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Avg. number of paved edges,9.0,8.1875,20.23076923076923,0.0,32.0625,11.0,4.2,4.0,7.4,4.333333333333333,8.5,10.391304347826088,12.571428571428571,29.6,22.0,11.764705882352942,37.708333333333336,7.580645161290323,25.285714285714285,14.0,18.153846153846153,11.789473684210526,10.0,20.53846153846154,22.733333333333334,5.153846153846154,27.85185185185185,,21.0,,1.6923076923076923,35.76923076923077,,18.642857142857142,5.0,8.125,21.0,29.0,8.875,5.0,8.76923076923077,7.25,,17.8,39.714285714285715,3.0,11.8,6.5,32.45454545454545,,5.6,34.0,7.0,10.0,,3.2222222222222223,0.0,12.0,18.0,6.4,9.5,4.5,5.466666666666667,24.833333333333332,19.071428571428573,14.294117647058824,,7.454545454545454,3.4,27.333333333333332,6.333333333333333,2.0,16.875,,19.545454545454547,,8.0,,6.25,,4.75,6.3,,4.571428571428571,8.0,4.9,24.833333333333332,23.1,,24.5,19.4,22.0,9.0,,4.444444444444445,10.764705882352942,,17.5,0.0,2.25
Avg. number of unpaved edges,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0967741935483871,0.0,2.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,,0.0,,4.384615384615385,0.15384615384615385,,0.0,1.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,,0.0,0.14285714285714285,0.1111111111111111,0.2,0.0,0.18181818181818182,,1.1,0.0,0.8,2.6666666666666665,,0.2222222222222222,9.0,1.0,0.0,3.2,0.25,6.4375,7.866666666666666,0.16666666666666666,0.0,0.0,,0.18181818181818182,0.3,0.0,0.0,0.0,0.75,,0.0,,0.0,,0.0,,0.25,0.0,,0.0,0.0,0.6,0.0,1.8,,0.0,0.2,0.0,2.5,,0.0,0.0,,0.0,1.0,0.0
Avg. number of edges with unknown surface,22.0,28.375,15.23076923076923,11.75,15.0,44.0,11.2,15.0,23.266666666666666,12.0,17.0,26.17391304347826,14.285714285714286,23.9,21.25,23.11764705882353,9.0,16.161290322580644,20.285714285714285,15.5,19.307692307692307,25.0,30.5,27.53846153846154,18.933333333333334,14.307692307692308,14.407407407407407,,22.0,,30.384615384615383,11.538461538461538,,28.821428571428573,20.0,27.0,17.0,14.333333333333334,15.125,21.0,16.153846153846153,15.75,,37.2,9.0,18.0,22.7,16.5,23.454545454545453,,28.4,22.166666666666668,24.8,17.666666666666668,,10.444444444444445,12.0,20.0,12.0,29.6,29.0,25.6875,27.8,16.666666666666668,22.571428571428573,25.41176470588235,,18.636363636363637,12.7,37.0,12.333333333333334,8.0,20.125,,23.03030303030303,,19.428571428571427,,16.25,,16.0,16.6,,17.642857142857142,17.555555555555557,21.0,11.833333333333334,25.7,,10.5,21.2,20.0,27.0,,19.77777777777778,29.0,,19.0,14.0,13.0
