,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,24.8751859664917,24.97318124771118,21.476932764053345,19.572555780410767,18.94951319694519,16.820367097854614,15.342687368392944,14.61917757987976,13.058269739151001,10.458329439163208,12.124483823776245
Number of paths,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Average paths badness,1429.6655347054968,1429.6655347054968,1431.7657215570025,1431.7657215570025,1431.7657215570025,1432.8879387442037,1432.8879387442037,1432.8879387442037,1432.8879387442037,1437.2248681653048,1437.2248681653048
