,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,10.708466529846191,8.944212436676025,53.12582874298096,7.129600763320923,7.848452568054199,63.324512243270874,13.638930559158325,13.469489812850952,11.277283430099487,12.978973627090454,18.217161893844604,9.287160396575928,37.050719022750854,40.265873670578,18.63563108444214,5.714613914489746,33.27355194091797,16.241297960281372,9.553038597106934,2.7809925079345703
Number of paths,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Average paths badness,,,,,,,2960.6999255539104,,,,,,2958.3335148530587,,,,,,,
Avg. number of stoplights,,,,,,,49.0,,,,,,51.0,,,,,,,
Avg. number of steps,,,,,,,0.0,,,,,,0.0,,,,,,,
Avg. number of paved edges,,,,,,,126.0,,,,,,160.0,,,,,,,
Avg. number of unpaved edges,,,,,,,2.0,,,,,,0.0,,,,,,,
Avg. number of edges with unknown surface,,,,,,,82.0,,,,,,68.0,,,,,,,
