,Avoid,Paved
0.5,146.87997222739736,137.2375988451155
0.55,162.4532287084938,137.2375988451155
0.6000000000000001,205.2377400485475,135.9844332715984
0.6500000000000001,194.3741117704003,139.97566853220405
0.7000000000000002,173.55710239545186,142.0398813629713
0.7500000000000002,170.6510285166878,150.6836886964414
0.8000000000000003,169.40553387180523,168.72143449801973
0.8500000000000003,166.34011105501023,177.50111955368448
0.9000000000000004,190.708742651261,184.94296414431145
0.9500000000000004,207.5945864063956,174.45111756392666
1.0,221.23907888778723,161.74861769543375
