,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,80.15888404846191,163.0609655380249,239.51204895973206,55.378867387771606,31.874083757400513,426.51490020751953,126.37858986854553,120.186842918396,86.3598735332489,59.46487545967102,207.67547345161438,46.55215501785278,205.85729908943176,170.95292210578918,108.60859441757202,33.27049708366394,191.10905385017395,184.94928693771362,67.27686667442322,51.01970434188843
Number of paths,1.0,2.0,2.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Average paths badness,169.59449181289892,205.0386574340646,177.5775489672369,281.56431522293315,,192.64505220331134,,264.62859324854435,,,235.88497088524582,,172.98162912501758,,193.61084400311483,,,,242.76586762341685,327.81924592448377
Avg. number of stoplights,58.0,73.0,74.0,24.0,,66.33333333333333,,27.666666666666668,,,72.5,,61.4,,57.0,,,,43.0,8.0
Avg. number of steps,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0
Avg. number of paved edges,127.0,161.5,186.5,38.0,,147.0,,79.66666666666667,,,133.5,,170.0,,122.0,,,,70.0,53.0
Avg. number of unpaved edges,2.0,11.0,2.5,3.0,,0.3333333333333333,,7.333333333333333,,,3.0,,1.2,,0.0,,,,0.0,6.0
Avg. number of edges with unknown surface,88.0,150.5,161.5,91.0,,128.66666666666666,,136.33333333333334,,,157.0,,131.2,,112.0,,,,91.0,117.0
