,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,15.841877222061157,17.747560262680054,47.96126675605774,8.862266778945923,7.103298187255859,65.59576964378357,25.304168462753296,11.013862609863281,6.458927392959595,14.309471368789673,25.0447416305542,10.23993706703186,30.912641525268555,23.288447856903076,28.834377765655518,4.419318199157715,44.25320291519165,38.8136191368103,10.300196886062622,2.4213342666625977
Number of paths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Average paths badness,,,,,,,,,,,,,,,,,,,,
Avg. number of stoplights,,,,,,,,,,,,,,,,,,,,
Avg. number of steps,,,,,,,,,,,,,,,,,,,,
Avg. number of paved edges,,,,,,,,,,,,,,,,,,,,
Avg. number of unpaved edges,,,,,,,,,,,,,,,,,,,,
Avg. number of edges with unknown surface,,,,,,,,,,,,,,,,,,,,
