,"(16.347453307518535, 48.175795107835704)","(16.306063307426022, 48.2244710079415)","(16.33485990749046, 48.18647560785937)","(16.437321207717943, 48.14339110775662)","(16.37543190758027, 48.202225407886274)","(16.434274407709545, 48.29484480806843)","(16.437110507717232, 48.17172900781501)","(16.416814407671126, 48.274647908029436)","(16.288538207387315, 48.206792507907494)","(16.267663107341004, 48.19985460789603)","(16.28567970738132, 48.18042720785359)","(16.360847207548247, 48.175038007832306)","(16.44943960774359, 48.259830907994434)","(16.40084560763678, 48.18658450785059)","(16.40840850765365, 48.174642407824976)","(16.35558860753663, 48.170731407824185)","(16.389733807611982, 48.20210890788408)","(16.38428960760046, 48.15096760777953)","(16.30895190743317, 48.168466307825774)","(16.254420307312014, 48.166939907829956)","(16.418660907676387, 48.17176520781766)","(16.387026507606336, 48.17064930781968)","(16.440134407724052, 48.156791007783816)","(16.36790500756398, 48.16787110781657)","(16.398927107632137, 48.222284807924325)","(16.431230807704235, 48.16946280781115)","(16.33719610749572, 48.18101590784784)","(16.42463440768895, 48.23481820794651)","(16.36013000754578, 48.24706800798062)","(16.24943910730087, 48.17221720784152)","(16.307113907428903, 48.18363040785731)","(16.38377460759882, 48.198342407877156)","(16.32910710747669, 48.260926208013345)","(16.380290907591416, 48.16932290781788)","(16.40939620765441, 48.294506808071226)","(16.289872507390918, 48.15815690780712)","(16.348906007520995, 48.236968507961386)","(16.376775107582805, 48.239098307961946)","(16.473865807798138, 48.21496860789885)","(16.40338170764132, 48.276493808035084)","(16.45054950774639, 48.2305831079342)","(16.448025507740535, 48.25342910798151)","(16.377539407584408, 48.24667230797739)","(16.39105240761417, 48.26161610800627)","(16.38174370759429, 48.20093200788277)","(16.26822020734257, 48.17616080784712)","(16.338922207499166, 48.21160120791056)","(16.328073107475912, 48.14249660776969)","(16.352760007529817, 48.216712007919206)","(16.419713507677553, 48.27477920802929)","(16.304270707422834, 48.16327720781576)","(16.361301807548948, 48.20166380788706)","(16.30515160742479, 48.16333350781572)","(16.281824507371912, 48.23978930797632)","(16.472191807794022, 48.25432770797996)","(16.41300360766267, 48.275526708031755)","(16.302961707418415, 48.271770908039194)","(16.31810980745326, 48.18779810786438)","(16.29810780740879, 48.19116050787401)","(16.432650307705984, 48.292508408063874)","(16.453671207753356, 48.22508010792246)","(16.303521507420896, 48.18534600786132)","(16.303477507420798, 48.18540590786144)","(16.392242307617607, 48.19658450787239)","(16.361339807549243, 48.184043007850796)","(16.387175907606675, 48.168512707815275)","(16.369804907567584, 48.22019260792403)","(16.32141420745986, 48.24319770797795)","(16.461742307771313, 48.21590190790248)","(16.369208807566515, 48.19875060787998)","(16.459279507765316, 48.265216608004145)","(16.464974407778012, 48.25755200798759)","(16.29623510740513, 48.15133290779218)","(16.433354607708605, 48.20344400788079)","(16.365408807558428, 48.16885620781896)","(16.461068307769526, 48.24373300795974)","(16.300076307412983, 48.20525760790279)","(16.43409200770916, 48.29397760806669)","(16.428925907699206, 48.16177300779562)","(16.43760660771694, 48.29423020806671)","(16.227661407251816, 48.21303440792849)","(16.44691030773792, 48.26513590800571)","(16.493298107840932, 48.233289307933795)","(16.397329807629394, 48.14547090776641)","(16.271088607348624, 48.199823707895504)","(16.435521607713856, 48.15607770778301)","(16.34429070751064, 48.244449007977394)","(16.364019407555453, 48.158711807798234)","(16.43637940771421, 48.295336308069146)","(16.35759750754008, 48.252100407991314)","(16.319133107455844, 48.16180730781071)","(16.29836180740987, 48.150137807789434)","(16.283564407376865, 48.161096907814006)","(16.28115910737033, 48.2468317079909)","(16.452980707751315, 48.27022190801528)","(16.30823220743085, 48.22332590793887)","(16.20863000720961, 48.20193670790818)","(16.46105680776956, 48.237765707947496)","(16.307887407429877, 48.23792730796895)","(16.346175007516113, 48.13679910775549)"
Elapsed time,10.811195850372314,13.161076545715332,20.547840356826782,8.76421308517456,30.855528831481934,2.609818935394287,3.725184679031372,7.635110378265381,15.294663429260254,12.024943351745605,12.062536239624023,23.895087480545044,12.644279718399048,18.987056732177734,10.06184697151184,22.39697241783142,22.562748193740845,17.54065465927124,14.23450517654419,3.408918857574463,11.683639526367188,21.63086199760437,12.285425901412964,31.59089231491089,12.2866792678833,8.313320636749268,18.720013856887817,5.643351793289185,11.080962419509888,2.860466957092285,7.4858222007751465,27.19698143005371,1.841160774230957,25.74903655052185,2.799093246459961,18.183998346328735,18.608947277069092,9.548755407333374,5.141485691070557,15.311519145965576,8.54701852798462,13.10176134109497,3.683706760406494,9.291067600250244,29.130728721618652,6.760146856307983,19.49717140197754,8.785000562667847,22.68159794807434,5.252408027648926,11.134604692459106,32.893537282943726,13.522358417510986,3.961066484451294,2.709789752960205,6.751915693283081,3.066614866256714,6.582171440124512,9.65403699874878,2.9249589443206787,5.296780347824097,10.319441556930542,9.963283061981201,22.180984258651733,31.93853759765625,21.60226798057556,12.150339126586914,12.811589241027832,10.348271608352661,25.922165393829346,7.49510931968689,8.746068477630615,16.158623218536377,2.446202039718628,29.174638748168945,7.40163516998291,12.381501197814941,4.552070617675781,15.947717905044556,1.6384732723236084,4.723072052001953,14.582571983337402,2.6243221759796143,13.975127696990967,13.993768215179443,10.528242349624634,12.310339212417603,18.351685523986816,3.6494815349578857,6.097199201583862,11.977908611297607,19.23802638053894,13.16326117515564,3.4241392612457275,7.890592098236084,14.183184385299683,1.9864463806152344,8.770713090896606,11.909806966781616,9.702436208724976
Number of paths,4.0,18.0,11.0,2.0,22.0,0.0,1.0,4.0,13.0,9.0,5.0,23.0,15.0,7.0,4.0,17.0,10.0,8.0,5.0,0.0,1.0,26.0,3.0,28.0,5.0,3.0,16.0,1.0,9.0,1.0,4.0,24.0,0.0,19.0,0.0,14.0,22.0,1.0,1.0,4.0,6.0,6.0,1.0,7.0,24.0,13.0,25.0,6.0,22.0,1.0,7.0,24.0,9.0,5.0,1.0,3.0,0.0,7.0,6.0,0.0,3.0,10.0,7.0,15.0,25.0,13.0,3.0,14.0,3.0,20.0,1.0,6.0,15.0,0.0,7.0,1.0,17.0,0.0,3.0,0.0,5.0,11.0,0.0,5.0,21.0,3.0,22.0,4.0,0.0,1.0,10.0,19.0,10.0,1.0,11.0,11.0,1.0,2.0,7.0,0.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Avg. number of stoplights,15.25,10.777777777777779,31.545454545454547,1.0,30.181818181818183,,4.0,7.0,2.230769230769231,6.111111111111111,5.8,13.478260869565217,12.733333333333333,32.0,11.75,15.058823529411764,31.3,6.0,5.0,,9.0,10.961538461538462,8.0,11.428571428571429,11.2,7.0,21.3125,18.0,8.555555555555555,0.0,13.5,25.375,,18.210526315789473,,7.142857142857143,14.090909090909092,17.0,11.0,16.0,15.333333333333334,13.5,20.0,6.285714285714286,22.083333333333332,0.46153846153846156,23.48,20.5,22.772727272727273,6.0,10.428571428571429,25.958333333333332,9.88888888888889,0.0,15.0,8.666666666666666,,27.714285714285715,11.0,,7.333333333333333,13.5,18.714285714285715,24.333333333333332,14.6,19.0,18.333333333333332,11.142857142857142,9.333333333333334,27.4,8.0,11.166666666666666,16.6,,11.0,11.0,9.941176470588236,,2.6666666666666665,,1.2,15.181818181818182,,7.4,3.9047619047619047,0.6666666666666666,11.818181818181818,10.25,,19.0,18.9,16.68421052631579,5.3,0.0,13.090909090909092,10.454545454545455,13.0,14.5,4.428571428571429,
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Avg. number of paved edges,41.75,30.555555555555557,56.54545454545455,10.0,78.77272727272727,,44.0,14.5,18.846153846153847,18.11111111111111,20.4,45.21739130434783,27.733333333333334,70.85714285714286,40.0,44.470588235294116,88.6,24.5,37.4,,53.0,42.76923076923077,10.0,42.214285714285715,40.2,33.333333333333336,55.375,30.0,51.0,3.0,30.75,77.0,,43.73684210526316,,24.357142857142858,55.63636363636363,60.0,21.0,26.0,28.666666666666668,24.166666666666668,67.0,47.714285714285715,81.70833333333333,16.46153846153846,43.08,30.666666666666668,66.54545454545455,15.0,30.857142857142858,65.25,36.888888888888886,10.4,39.0,15.0,,45.57142857142857,39.833333333333336,,19.666666666666668,31.2,39.0,74.06666666666666,50.88,44.15384615384615,63.666666666666664,31.357142857142858,14.0,66.8,28.0,19.166666666666668,38.0,,41.142857142857146,33.0,28.823529411764707,,12.0,,15.0,20.181818181818183,,23.8,16.428571428571427,14.333333333333334,47.54545454545455,55.0,,80.0,46.6,41.21052631578947,22.5,4.0,24.636363636363637,29.90909090909091,15.0,17.5,21.428571428571427,
Avg. number of unpaved edges,0.25,0.0,0.0,0.0,0.09090909090909091,,1.0,0.5,2.1538461538461537,1.5555555555555556,1.4,0.34782608695652173,0.4666666666666667,1.2857142857142858,0.0,0.29411764705882354,0.1,0.25,3.2,,0.0,0.46153846153846156,1.0,0.6785714285714286,0.6,1.0,0.25,0.0,0.0,12.0,3.25,0.20833333333333334,,0.21052631578947367,,0.21428571428571427,0.2727272727272727,0.0,0.0,1.5,0.16666666666666666,0.0,0.0,2.0,0.75,0.6153846153846154,0.6,0.6666666666666666,0.045454545454545456,0.0,1.1428571428571428,0.08333333333333333,1.4444444444444444,8.6,0.0,0.3333333333333333,,1.0,0.16666666666666666,,0.3333333333333333,6.3,6.857142857142857,1.3333333333333333,0.12,0.07692307692307693,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.8666666666666667,,2.4285714285714284,0.0,0.17647058823529413,,0.0,,0.0,0.0,,0.0,1.7619047619047619,2.0,0.2727272727272727,1.0,,0.0,0.2,1.4736842105263157,2.8,15.0,0.0,0.09090909090909091,4.0,0.0,0.5714285714285714,
Avg. number of edges with unknown surface,62.75,52.94444444444444,44.0,48.5,41.63636363636363,,47.0,43.5,47.07692307692308,43.888888888888886,43.4,54.34782608695652,36.13333333333333,49.857142857142854,39.75,56.529411764705884,37.9,46.375,46.8,,42.0,51.19230769230769,42.333333333333336,58.107142857142854,53.4,42.333333333333336,44.625,28.0,29.22222222222222,35.0,56.25,40.25,,55.36842105263158,,51.357142857142854,35.45454545454545,35.0,45.0,46.5,40.333333333333336,31.0,40.0,48.857142857142854,40.583333333333336,49.84615384615385,43.4,45.0,49.04545454545455,54.0,57.42857142857143,47.5,53.55555555555556,31.6,24.0,43.0,,37.285714285714285,37.666666666666664,,48.0,41.2,40.57142857142857,37.53333333333333,51.56,49.0,32.666666666666664,38.57142857142857,45.333333333333336,61.65,29.0,37.5,51.8,,53.714285714285715,42.0,48.0,,23.666666666666668,,38.0,41.72727272727273,,43.6,40.095238095238095,41.333333333333336,32.63636363636363,52.0,,24.0,48.7,46.8421052631579,52.5,44.0,36.45454545454545,55.54545454545455,46.0,48.0,35.714285714285715,
