,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,258.86558985710144,227.13607358932495,203.0407280921936,177.45677638053894,164.81391072273254,144.90149998664856,137.03859877586365,124.04295825958252,124.08404660224915,117.83340787887573,113.87317967414856
Number of paths,13.0,13.0,13.0,13.0,14.0,14.0,14.0,13.0,12.0,12.0,14.0
Average paths badness,159.01995137697836,159.01995137697836,159.01995137697836,159.01995137697836,162.15710943330018,162.15710943330018,162.15710943330006,166.96305394991998,163.9649614319563,163.9649614319563,164.01639574788416
