,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,540.3796865940094,501.3432550430298,435.466463804245,393.9302077293396,352.7870879173279,326.98697233200073,318.98341369628906,303.64480423927307,294.4257769584656,283.2444541454315,275.2537410259247
Number of paths,11.0,11.0,13.0,13.0,13.0,14.0,14.0,14.0,13.0,13.0,13.0
