,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,476.0005052089691,441.51165199279785,373.39977979660034,334.9823782444,301.0926010608673,278.6413493156433,268.05976128578186,255.3620889186859,256.2630548477173,245.2993791103363,239.52273678779602
Number of paths,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Average paths badness,177.50111955368448,177.50111955368448,177.50111955368448,177.48247776995174,177.48247776995174,177.48247776995174,177.48247776995174,177.48247776995174,177.48247776995174,177.35586857046195,177.35586857046195
