,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,427.9968891143799,396.89780950546265,334.88066363334656,308.0236704349518,274.6973829269409,264.5518684387207,254.33094573020935,242.22941303253174,235.86639189720154,230.79279112815857,216.99407625198364
Number of paths,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0
Average paths badness,166.34011105501025,166.34011105501025,166.34011105501025,166.34011105501025,166.34011105501025,166.34011105501025,166.34011105501025,166.34011105501025,170.5217129997145,170.5217129997145,170.5217129997145
