,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,63.368605852127075,112.96356844902039,171.94602966308594,20.799320936203003,12.835057735443115,232.61837077140808,46.121596574783325,39.145880460739136,39.12924551963806,45.12974309921265,81.15552830696106,22.17444658279419,126.03998756408691,84.97641682624817,86.19297695159912,12.70892333984375,101.45734882354736,81.34154963493347,52.998876094818115,14.4381103515625
Number of paths,1.0,5.0,10.0,1.0,0.0,22.0,2.0,8.0,5.0,10.0,4.0,1.0,14.0,1.0,9.0,0.0,6.0,2.0,0.0,3.0
Average paths badness,165.942690348018,146.97352392252432,134.2324989765628,204.73154285473538,,92.58662425556709,99.02237232549214,161.72115479949025,126.42847672389762,160.21481300043524,163.43309619582942,133.4929716150982,82.0128662210531,158.19884653007648,162.17827169494396,,108.42553327332614,179.93614171259196,,225.55187928843225
Avg. number of stoplights,31.0,36.2,28.4,16.0,,50.95454545454545,38.0,15.0,29.2,22.6,21.5,27.0,47.0,24.0,21.666666666666668,,36.166666666666664,22.0,,3.3333333333333335
Avg. number of steps,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Avg. number of paved edges,39.0,105.2,91.3,19.0,,130.27272727272728,119.0,54.75,76.2,61.0,71.25,70.0,137.21428571428572,73.0,69.22222222222223,,107.33333333333333,67.0,,28.333333333333332
Avg. number of unpaved edges,0.0,5.8,4.4,1.0,,0.09090909090909091,1.5,3.375,0.0,0.4,0.0,1.0,0.2857142857142857,1.0,5.111111111111111,,1.5,5.0,,5.666666666666667
Avg. number of edges with unknown surface,59.0,116.2,90.9,73.0,,81.0909090909091,76.0,84.25,68.4,83.9,98.75,107.0,71.64285714285714,101.0,96.44444444444444,,73.0,82.5,,78.33333333333333
