,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,30.517060041427612,120.05839800834656,122.51492166519165,40.15504503250122,28.766046047210693,200.64396500587463,83.45600605010986,70.86916422843933,63.519755125045776,59.10415554046631,77.50362706184387,24.211474895477295,119.15357685089111,84.02940797805786,79.33501696586609,26.09228754043579,120.77484250068665,85.33079171180725,39.253119468688965,38.01286244392395
Number of paths,0.0,6.0,8.0,0.0,2.0,9.0,2.0,8.0,1.0,4.0,2.0,1.0,6.0,7.0,8.0,0.0,3.0,16.0,1.0,3.0
Average paths badness,,126.96684782216107,216.20482017957784,,91.92766408933494,228.52506857919374,151.39686140721096,114.88062657120508,130.7407175878543,110.16054578534477,193.27125885265195,241.27271869461947,170.83612841100543,198.07025079525894,177.42831279266943,,201.88011217080748,151.87264951189843,95.6183545467502,83.75187565900524
Avg. number of stoplights,,35.0,54.375,,18.5,57.333333333333336,46.0,21.875,16.0,27.75,51.0,50.0,43.0,52.142857142857146,37.125,,37.0,33.125,12.0,18.666666666666668
Avg. number of steps,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Avg. number of paved edges,,126.5,157.0,,85.5,158.88888888888889,196.0,95.875,42.0,109.75,133.0,177.0,148.0,131.42857142857142,128.125,,121.33333333333333,105.0,40.0,91.66666666666667
Avg. number of unpaved edges,,5.833333333333333,2.625,,0.0,1.3333333333333333,0.5,4.5,2.0,0.75,3.5,2.0,3.8333333333333335,1.8571428571428572,2.375,,3.0,2.5625,0.0,8.0
Avg. number of edges with unknown surface,,149.66666666666666,153.875,,123.0,147.66666666666666,115.5,125.75,99.0,123.75,160.5,135.0,128.66666666666666,134.42857142857142,127.625,,96.0,121.1875,101.0,131.33333333333334
