,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,2.0562310218811035,1.8030815124511719,3.1385955810546875,6.4135212898254395,2.111325979232788,5.992662668228149,2.1382029056549072,2.7943150997161865,2.093043088912964,5.108214855194092,7.771907091140747,3.0031468868255615,2.377051830291748,5.1539857387542725,2.6648001670837402,2.905797243118286,1.9506111145019531,4.4393393993377686,1.0661451816558838,1.0218584537506104
Number of paths,7.0,1.0,16.0,17.0,9.0,6.0,7.0,1.0,7.0,8.0,30.0,8.0,4.0,6.0,10.0,2.0,4.0,5.0,0.0,0.0
Average paths badness,568.1943629776229,635.2093388118801,599.3794517605328,630.8250592820306,637.4503465949648,604.7809859032933,618.946010143737,634.1637511325266,640.5302184968941,634.7496344740929,636.9905327990866,587.6328323763422,635.3047669324712,625.6020555402453,622.050342824436,627.4282705245649,556.8890487974948,628.3917876497707,,
Avg. number of stoplights,9.857142857142858,0.0,7.4375,2.4705882352941178,0.0,6.0,4.857142857142857,4.0,0.2857142857142857,0.25,2.3333333333333335,8.375,1.5,4.333333333333333,3.3,2.0,8.0,0.0,,
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avg. number of paved edges,12.0,53.0,18.5625,3.7058823529411766,3.5555555555555554,31.5,20.857142857142858,15.0,24.142857142857142,15.375,6.3,22.25,37.0,11.0,22.5,5.0,17.75,2.6,,
Avg. number of unpaved edges,0.0,0.0,0.0,0.47058823529411764,0.7777777777777778,0.0,0.0,0.0,0.0,3.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.6,,
Avg. number of edges with unknown surface,18.571428571428573,20.0,22.3125,25.0,15.666666666666666,19.666666666666668,31.714285714285715,16.0,24.285714285714285,27.125,15.6,23.25,20.25,25.166666666666668,24.4,19.5,17.75,25.4,,
