,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,5.506774663925171,4.587640285491943,11.71506381034851,20.260836839675903,6.475331783294678,48.23563003540039,5.624349594116211,2.144026517868042,11.313402891159058,16.887604236602783,29.878167629241943,4.303572177886963,7.929551124572754,19.507309913635254,7.421807289123535,5.238128662109375,4.893492221832275,8.016888856887817,1.2895972728729248,1.0900156497955322
Number of paths,11.0,1.0,26.0,37.0,21.0,10.0,9.0,9.0,22.0,15.0,70.0,6.0,16.0,18.0,18.0,1.0,6.0,12.0,0.0,0.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avg. number of stoplights,6.090909090909091,0.0,7.346153846153846,1.6216216216216217,0.09523809523809523,5.4,4.444444444444445,4.444444444444445,1.0,0.4,3.1285714285714286,7.0,6.0625,5.333333333333333,2.9444444444444446,0.0,8.333333333333334,0.0,,
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avg. number of paved edges,13.181818181818182,53.0,18.0,3.2972972972972974,6.142857142857143,32.5,22.444444444444443,18.0,21.681818181818183,13.666666666666666,6.5,25.0,34.625,12.777777777777779,20.27777777777778,9.0,23.333333333333332,3.0833333333333335,,
Avg. number of unpaved edges,0.0,0.0,0.0,0.43243243243243246,0.23809523809523808,0.0,0.0,0.2222222222222222,0.0,1.3333333333333333,0.04285714285714286,0.0,0.0625,0.0,0.0,0.0,0.0,1.1666666666666667,,
Avg. number of edges with unknown surface,16.272727272727273,20.0,24.73076923076923,25.756756756756758,14.952380952380953,22.3,31.444444444444443,16.88888888888889,24.727272727272727,27.4,15.028571428571428,21.0,23.4375,26.61111111111111,24.0,23.0,23.666666666666668,26.0,,
