,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,2.5876028537750244,1.004228115081787,4.04488468170166,1.4805772304534912,3.8016252517700195,1.7046535015106201,1.050919532775879,3.236583709716797,2.583040714263916,1.8425166606903076
Number of paths,3.0,0.0,3.0,2.0,6.0,5.0,0.0,6.0,13.0,4.0
Average paths badness,645.147740789378,,627.9582920594859,627.4282705245649,644.8161911799133,638.9829502924534,,635.0571656314441,599.3457262506612,618.2147412110016
Avg. number of stoplights,3.3333333333333335,,4.0,2.0,0.3333333333333333,0.0,,0.0,7.6923076923076925,5.25
Avg. number of steps,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Avg. number of paved edges,36.666666666666664,,9.333333333333334,5.0,26.5,3.6,,14.666666666666666,18.153846153846153,20.5
Avg. number of unpaved edges,0.0,,0.0,0.0,0.0,0.4,,4.0,0.0,0.0
Avg. number of edges with unknown surface,22.333333333333332,,26.333333333333332,19.5,23.833333333333332,13.8,,27.666666666666668,20.307692307692307,33.0
