,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,10.900989055633545,18.770976543426514,38.26801562309265,6.788556337356567,3.712979555130005,57.14191675186157,10.813289403915405,12.220930814743042,9.240784645080566,11.99373984336853,11.663574457168579,6.099659442901611,24.328078269958496,20.84550952911377,17.510027647018433,7.156831502914429,21.555073499679565,14.430498838424683,12.464192628860474,5.070603847503662
Number of paths,0.0,1.0,2.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Average paths badness,,3015.686935951686,3055.7683026642117,,,2834.1798698467414,,2960.983926824792,,,,,2930.9265643804224,,3008.5416092443884,,3009.6616031674166,,,3186.2365225233843
Avg. number of stoplights,,38.0,22.0,,,63.55555555555556,,20.666666666666668,,,,,44.857142857142854,,31.0,,28.0,,,2.0
Avg. number of steps,,0.0,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,,,0.0
Avg. number of paved edges,,97.0,77.5,,,127.77777777777777,,51.333333333333336,,,,,129.14285714285714,,79.0,,76.0,,,20.0
Avg. number of unpaved edges,,6.0,15.5,,,0.1111111111111111,,3.3333333333333335,,,,,0.5714285714285714,,4.0,,3.0,,,6.0
Avg. number of edges with unknown surface,,119.0,96.0,,,82.55555555555556,,68.66666666666667,,,,,81.57142857142857,,87.0,,84.0,,,81.0
