,Neutral,Avoid,Paved,Mean,Mean Change
0,60.948137044906616,60.948137044906616,60.02532649040222,60.64053352673849,
5,59.22046995162964,59.22046995162964,59.019288063049316,59.15340932210287,-1.4871242046356201
10,49.55008149147034,49.55008149147034,51.09843730926514,50.06620009740194,-9.087209224700928
15,42.62208914756775,42.62208914756775,42.43622851371765,42.56013560295105,-7.506064494450889
20,40.71037244796753,40.71037244796753,40.90992975234985,40.776891549428306,-1.7832440535227434
25,37.08350229263306,37.08350229263306,34.461225509643555,36.20941003163656,-4.567481517791748
30,32.71970820426941,32.71970820426941,30.445786714553833,31.961734374364216,-4.247675657272342
35,30.047064065933228,30.047064065933228,28.339484453201294,29.47787086168925,-2.483863512674965
40,28.508684396743774,28.508684396743774,26.498645067214966,27.838671286900837,-1.6391995747884138
45,25.528016328811646,25.528016328811646,24.381057024002075,25.14569656054179,-2.692974726359047
50,24.910359144210815,24.910359144210815,23.334816217422485,24.385178168614704,-0.7605183919270857
