,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,64.32798171043396,62.55936288833618,52.36593770980835,45.64884614944458,44.29604625701904,38.238196849823,32.431782484054565,30.792447805404663,29.450455904006958,26.939854383468628,26.2744882106781
Number of paths,17.0,17.0,17.0,17.0,18.0,16.0,14.0,14.0,13.0,13.0,13.0
