,Avoid,Paved
50,160.9889115493455,100.5702929261645
60,150.7430550760928,100.0302470845103
70,157.60814221155073,99.79072902586789
80,173.06471779179978,101.20769477631902
90,170.34876812146484,101.55736918225634
100,165.19683531305145,102.42024868847531
110,154.60655535333555,103.69831525459426
120,154.60655535333555,104.08652928668539
130,154.60655535333555,103.96632720534808
140,154.60655535333555,102.59109426045458
150,154.60655535333555,102.61559467151201
160,170.99832495505143,102.61559467151201
170,153.83114741198733,102.61559467151201
180,153.83114741198733,99.89228545109043
190,141.90728327158,98.49310029389672
200,142.37468979480627,97.33185490375838
210,130.48197857534342,97.56243067684682
220,130.48197857534342,97.56243067684682
230,136.04379990058806,97.56243067684682
240,161.6395237231004,97.56243067684682
250,161.6395237231004,97.56243067684682
260,188.96693231454688,97.56243067684682
270,188.96693231454688,97.56243067684682
280,188.96693231454688,95.84071100714775
290,188.96693231454688,84.16172219421242
300,188.96693231454688,88.57020292475026
