,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,42.692535400390625,23.581936597824097,24.89949655532837,11.597902536392212,23.442392110824585,4.991101980209351,18.12727665901184,22.091230154037476,57.918554067611694,29.197263717651367
Number of paths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Average paths badness,,,,,,,,,4112.9216924012635,
Avg. number of stoplights,,,,,,,,,110.0,
Avg. number of steps,,,,,,,,,0.0,
Avg. number of paved edges,,,,,,,,,167.0,
Avg. number of unpaved edges,,,,,,,,,0.0,
Avg. number of edges with unknown surface,,,,,,,,,136.0,
