,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,83.39774060249329,52.72120761871338,64.3204026222229,20.274775743484497,47.95311117172241,24.527794122695923,32.44789457321167,39.902623891830444,86.63853311538696,56.07782173156738
Number of paths,3.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0
Average paths badness,233.79896159891783,85.43531856533264,206.1508857397524,,130.7407175878543,91.92766408933494,95.6183545467502,122.49896067681675,260.45867591390015,156.58532664020277
Avg. number of stoplights,59.333333333333336,18.0,54.0,,16.0,18.5,12.0,29.5,62.0,44.0
Avg. number of steps,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of paved edges,175.0,89.0,126.66666666666667,,42.0,85.5,40.0,125.0,231.0,182.0
Avg. number of unpaved edges,1.0,2.6666666666666665,0.6666666666666666,,2.0,0.0,0.0,0.0,0.0,0.0
Avg. number of edges with unknown surface,126.66666666666667,126.33333333333333,136.33333333333334,,99.0,123.0,101.0,121.5,174.0,114.0
