Setting,Elapsed time,N Paths,N stoplights,N steps,N paved edges,N unpaved edges,N unknown edge surfaces,Path badness
neutral,137.47995334386826,8.38,48.33650208389145,0.0235294117647058,117.02400534772232,2.948802597852862,123.77445277993765,
avoid,120.5240721487999,5.77,37.22466968599488,0.0,116.0806970328822,3.596826830402958,126.0554737972971,161.1803672238228
prefer,116.99004030942916,5.88,51.995904789783665,0.0,130.81019469937098,2.685853071120486,120.70631017093072,206.94757605253068
paved,34.5022348356247,0.62,60.10606060606061,0.0,117.26262626262628,2.2904040404040407,125.8030303030303,4410.161705356719
