Setting,Elapsed time,N Paths,N stoplights,N steps,N paved edges,N unpaved edges,N unknown edge surfaces,Path badness
neutral,57.703033916950226,8.28,28.62783016353176,0.0,74.77822798481176,2.095853490078475,84.84965600008056,
avoid,51.98822439193726,7.26,22.438839096274258,0.0,74.09879720670513,2.222355228484448,86.4911074422045,97.81434910763817
prefer,50.20476701259613,6.41,30.366459387264474,0.0,79.23051151287085,1.7382446950168975,81.50678826022015,146.66128995069167
paved,18.52877049446106,1.62,37.88699020277968,0.0,81.07268170426065,2.5201678438520543,84.49739880003038,2953.12020826227
