Setting,Elapsed time,N Paths,N stoplights,N steps,N paved edges,N unpaved edges,N unknown edge surfaces,Path badness
neutral,12.309361350536346,6.73,12.774636956455824,0.0120481927710843,35.33875587300596,1.2616728783070958,45.04903511504281,
avoid,11.638411440849303,5.92,10.583969994479414,0.0,36.92730552400019,1.2198376287371415,44.88969954286612,41.81110765213209
prefer,11.170226593017578,5.54,13.067860300024194,0.0125,38.855550305409245,0.975833483585128,42.67502659844455,75.71813023411059
paved,6.310393400192261,3.07,14.617993510895662,0.0,35.54171665374408,1.1497831918513906,45.13446227399155,1511.9165981313135
