,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,1.3307538032531738,1.0962486267089844,3.226041316986084,1.6470868587493896,3.0243372917175293,1.5309181213378906,3.1421098709106445,1.0466842651367188,2.766286611557007,2.3688018321990967,4.311680555343628,1.1457116603851318,3.2000346183776855,3.4826316833496094,1.714087724685669,2.9366438388824463,1.140320062637329,3.1137661933898926,0.9515540599822998,0.9227938652038574
Number of paths,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,6.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0
Average paths badness,598.1623643677115,656.4639945414528,583.1567862470896,645.1177341421358,656.8624881547057,642.9291661112256,600.7447493882637,,637.5132817882,636.3440848029144,632.5360149875522,560.2314723254046,650.1938578426293,621.3708158437519,622.833854339898,651.4174942723739,541.4054828094189,658.4154931324097,,
Avg. number of stoplights,8.666666666666666,0.0,10.5,3.0,0.0,0.0,5.0,,0.0,0.0,4.75,8.0,3.0,3.0,2.3333333333333335,0.0,8.0,0.0,,
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avg. number of paved edges,11.333333333333334,41.0,23.75,2.5,2.0,32.0,22.0,,27.0,13.166666666666666,12.25,17.0,37.5,9.0,22.333333333333332,5.0,18.5,0.0,,
Avg. number of unpaved edges,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Avg. number of edges with unknown surface,17.0,24.0,22.0,24.0,10.0,28.0,34.0,,22.5,27.666666666666668,17.5,24.0,25.0,25.5,23.666666666666668,15.0,12.5,26.0,,
