,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,10.020490407943726,5.941922426223755,15.294697523117065,7.730228424072266,4.996500015258789,13.08167052268982,3.722116231918335,12.845513343811035,24.18406367301941,8.151877403259277
Number of paths,5.0,3.0,9.0,4.0,2.0,0.0,1.0,14.0,16.0,1.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Avg. number of stoplights,19.2,6.0,6.222222222222222,4.75,12.5,,17.0,10.357142857142858,16.9375,8.0
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Avg. number of paved edges,86.2,29.666666666666668,24.555555555555557,19.75,72.0,,37.0,18.142857142857142,41.0625,38.0
Avg. number of unpaved edges,0.0,0.6666666666666666,0.0,0.25,0.0,,0.0,0.07142857142857142,0.0625,5.0
Avg. number of edges with unknown surface,36.2,44.333333333333336,44.888888888888886,37.0,51.0,,34.0,45.92857142857143,54.875,61.0
