,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,2.691141366958618,1.191671371459961,4.064979553222656,1.6780283451080322,2.5219309329986572,2.848832368850708,1.0868210792541504,5.484423398971558,3.1766998767852783,2.1642801761627197
Number of paths,6.0,2.0,9.0,1.0,6.0,15.0,0.0,8.0,12.0,4.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Avg. number of stoplights,3.6666666666666665,4.0,4.666666666666667,4.0,0.3333333333333333,0.0,,0.25,6.583333333333333,3.75
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Avg. number of paved edges,38.166666666666664,17.0,11.555555555555555,5.0,26.0,5.2,,15.375,16.166666666666668,20.25
Avg. number of unpaved edges,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,,3.0,0.0,0.0
Avg. number of edges with unknown surface,21.166666666666668,14.0,26.555555555555557,24.0,23.5,16.066666666666666,,27.125,22.916666666666668,32.75
