,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,4.060457706451416,3.102158546447754,8.712604999542236,4.144855976104736,3.7550387382507324,8.765267848968506,4.197980880737305,2.21458101272583,2.1008124351501465,4.740216493606567,5.406792640686035,3.6839406490325928,5.0614237785339355,5.759897708892822,5.315786838531494,2.6786653995513916,4.2496325969696045,5.0357677936553955,1.9723427295684814,3.33089542388916
Number of paths,0.0,0.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0
Average paths badness,,,1483.7516902445195,,,1340.5268205420061,,1490.1359042103359,,1507.9634231260377,1587.40335621962,,1522.0534769391973,1548.1122611623957,1563.3511926769916,1557.4075417419667,1428.1386244673809,,,
Avg. number of stoplights,,,23.5,,,45.0,,10.0,,13.5,0.0,,14.666666666666666,11.333333333333334,6.0,7.5,27.5,,,
Avg. number of steps,,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,
Avg. number of paved edges,,,41.5,,,66.33333333333333,,34.0,,21.75,14.0,,82.0,25.666666666666668,24.0,11.5,68.5,,,
Avg. number of unpaved edges,,,0.0,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,,,
Avg. number of edges with unknown surface,,,54.0,,,53.333333333333336,,38.0,,47.5,55.0,,36.333333333333336,56.333333333333336,45.0,36.0,42.0,,,
