,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,125.80113554000854,38.750333070755005,87.06189107894897,14.070544481277466,40.793020248413086,12.731646060943604,54.90350794792175,46.186622858047485,175.32861852645874,45.982298374176025
Number of paths,14.0,8.0,1.0,0.0,5.0,0.0,0.0,10.0,10.0,2.0
Average paths badness,82.0128662210531,161.72115479949025,158.19884653007648,,126.42847672389762,,,160.21481300043524,134.2324989765628,99.02237232549214
Avg. number of stoplights,47.0,15.0,24.0,,29.2,,,22.6,28.4,38.0
Avg. number of steps,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0
Avg. number of paved edges,137.21428571428572,54.75,73.0,,76.2,,,61.0,91.3,119.0
Avg. number of unpaved edges,0.2857142857142857,3.375,1.0,,0.0,,,0.4,4.4,1.5
Avg. number of edges with unknown surface,71.64285714285714,84.25,101.0,,68.4,,,83.9,90.9,76.0
