,Avoid,Paved
50,72.78431034284348,43.79904284827451
55,76.19432343140352,44.63818133518581
60,76.19432343140352,44.63818133518581
65,68.6827118417059,43.79904284827444
70,69.08407964953737,44.67751307633989
75,77.22125098511482,43.83832987765734
80,76.91938169900592,43.83832987765734
85,82.34955693373725,43.83832987765734
90,87.50899772389494,43.83832987765734
95,93.36653628832282,42.755515865772296
100,98.60154929922344,42.755515865772296
105,89.91712225752408,43.88378272332659
110,89.91712225752408,43.88378272332659
115,89.91712225752408,43.88378272332659
120,72.57198854929554,36.787732569118816
125,72.57198854929554,36.787732569118816
130,99.07620352314198,36.787732569118816
135,99.07620352314198,36.787732569118816
140,72.57198854929554,36.35082520286441
145,72.57198854929554,36.35082520286441
150,72.57198854929554,36.787732569118816
155,72.57198854929554,36.787732569118816
160,72.57198854929554,36.787732569118816
165,72.57198854929554,36.787732569118816
170,74.10409222152596,38.78433974866257
175,74.10409222152596,38.78433974866257
180,74.10409222152596,38.78433974866257
185,74.10409222152596,38.78433974866257
190,74.10409222152596,38.78433974866257
195,74.10409222152596,38.78433974866257
200,67.65116648696741,41.62052637222756
