Distance,State,Var,Sd,Mean,CV,Success Mean,Success CV,Failure Rate
2000,avoid,46.03020202020202,6.7845561402498555,6.49,1.0453861541217035,8.215189873417721,0.8080652877262827,0.21
2000,neutral,45.18141414141413,6.721712143599585,6.48,1.0373012567283308,8.0,0.8253787009609589,0.19
2000,paved,48.37010101010102,6.954861681593748,6.56,1.060192329511242,8.098765432098766,0.8486657811867677,0.19
2000,prefer,40.92232323232324,6.3970558253249,6.13,1.0435653874918271,7.961038961038961,0.7797842782126018,0.23
5000,avoid,33.44808080808082,5.783431577193666,5.92,0.9769310096610924,7.219512195121951,0.77596400570914,0.18
5000,neutral,46.21929292929294,6.7984772507740985,6.73,1.010174925820817,8.108433734939759,0.8225928894567393,0.17
5000,paved,33.584242424242426,5.795191319037054,5.54,1.0460634149886379,6.925,0.8216346443564905,0.2
5000,prefer,14.146565656565656,3.7611920526032243,3.07,1.225143991075969,4.323943661971831,0.8808895498512856,0.29
10000,avoid,42.27515151515152,6.5019344440828934,7.26,0.8955832567607291,8.642857142857142,0.7163165029162967,0.16
10000,neutral,51.2541414141414,7.159199774705368,8.28,0.8646376539499238,9.303370786516854,0.7449457468280786,0.11
10000,paved,43.17363636363636,6.570664834218556,6.41,1.025064716726764,7.72289156626506,0.8377731019199608,0.17
10000,prefer,5.147070707070706,2.268715651436007,1.62,1.4004417601456833,2.8421052631578947,0.8299460847701604,0.43
15000,avoid,31.289999999999996,5.593746508378798,5.77,0.9694534676566375,6.869047619047619,0.793132884449688,0.16
15000,neutral,68.37939393939394,8.269183390117426,8.38,0.9867760608732011,9.858823529411765,0.8230189605065988,0.15
15000,paved,39.29858585858586,6.268858417494038,5.88,1.0661323839275576,7.35,0.8420694832672047,0.2
15000,prefer,1.1268686868686866,1.0615407137122375,0.62,1.7121624414713508,1.878787878787879,0.544713143727055,0.67
