Distance,State,Var,Sd,Mean,CV,Success Mean,Success CV,Failure Rate
2000,avoid,2.6549356519883163,1.6293973278449663,3.36497127532959,0.48422325022235774,3.36497127532959,0.48422325022235774,0.21
2000,neutral,2.8650695633937335,1.6926516367503779,3.284189233779907,0.5153940641849788,3.284189233779907,0.5153940641849788,0.19
2000,paved,2.8644133500460454,1.6924577838297903,3.2637109994888305,0.5185685203422934,3.2637109994888305,0.5185685203422934,0.19
2000,prefer,2.0930272181020406,1.4467298359064973,2.803088376522064,0.5161199511310198,2.803088376522064,0.5161199511310198,0.23
5000,avoid,49.92352844777107,7.0656583874237135,11.638411440849303,0.6070981785902649,11.638411440849303,0.6070981785902649,0.18
5000,neutral,62.432886414744104,7.90144837449085,12.309361350536346,0.6419056317772788,12.309361350536346,0.6419056317772788,0.17
5000,paved,50.074650118678086,7.076344403622402,11.170226593017578,0.6335005243354481,11.170226593017578,0.6335005243354481,0.2
5000,prefer,13.10097742467859,3.6195272377312744,6.310393400192261,0.5735818685442016,6.310393400192261,0.5735818685442016,0.29
10000,avoid,1167.0786456528363,34.16253277573014,51.98822439193726,0.6571205917359304,51.98822439193726,0.6571205917359304,0.16
10000,neutral,1570.828317264329,39.63367655497442,57.703033916950226,0.6868560258376997,57.703033916950226,0.6868560258376997,0.11
10000,paved,1229.5663926963068,35.06517350158568,50.20476701259613,0.6984431078584231,50.20476701259613,0.6984431078584231,0.17
10000,prefer,147.3330777822021,12.138083777194904,18.52877049446106,0.6550938596181236,18.52877049446106,0.6550938596181236,0.43
15000,avoid,5827.787505614745,76.339946984621,120.5240721487999,0.633399997391153,120.5240721487999,0.633399997391153,0.16
15000,neutral,8206.085013802382,90.58744401848625,137.47995334386826,0.6589138402739103,137.47995334386826,0.6589138402739103,0.15
15000,paved,6245.215326961434,79.02667478112333,116.99004030942916,0.6754991670410934,116.99004030942916,0.6754991670410934,0.2
15000,prefer,461.2555623084152,21.47686109068118,34.5022348356247,0.6224773900299818,34.5022348356247,0.6224773900299818,0.67
