,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,5.186011075973511,4.491434097290039,8.936162948608398,4.3389647006988525,2.76774001121521,7.271454811096191,4.420003414154053,6.79218602180481,13.50272512435913,4.491179943084717
Number of paths,5.0,2.0,7.0,2.0,0.0,0.0,0.0,9.0,11.0,1.0
Average paths badness,1503.2532557684613,1541.8154445682694,1556.437618634733,1557.4075417419667,,,,1514.484190752856,1483.09134467124,1545.0741681511208
Avg. number of stoplights,17.2,7.0,9.714285714285714,7.5,,,,13.666666666666666,21.636363636363637,14.0
Avg. number of steps,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Avg. number of paved edges,80.6,31.0,23.428571428571427,11.5,,,,19.0,43.36363636363637,62.0
Avg. number of unpaved edges,0.0,0.5,0.0,0.0,,,,0.0,0.0,0.0
Avg. number of edges with unknown surface,41.6,35.0,50.714285714285715,36.0,,,,47.111111111111114,49.72727272727273,46.0
