,Avoid,Paved
50,72.78431034284348,43.79904284827451
60,76.19432343140352,44.63818133518581
70,69.08407964953737,44.67751307633989
80,76.91938169900592,43.83832987765734
90,87.50899772389494,43.83832987765734
100,98.60154929922344,42.755515865772296
110,89.91712225752408,43.88378272332659
120,72.57198854929554,36.787732569118816
130,99.07620352314198,36.787732569118816
140,72.57198854929554,36.35082520286441
150,72.57198854929554,36.787732569118816
160,72.57198854929554,36.787732569118816
170,74.10409222152596,38.78433974866257
180,74.10409222152596,38.78433974866257
190,74.10409222152596,38.78433974866257
200,67.65116648696741,41.62052637222756
210,67.65116648696741,41.62052637222756
220,67.65116648696741,41.62052637222756
230,67.90865694476345,41.62052637222756
240,67.90865694476345,41.62052637222756
250,70.66046089036574,38.78433974866257
260,76.45422273694184,36.23754277560632
270,67.72204216761543,37.65373289793183
280,67.72204216761543,40.25940288327001
290,67.72204216761543,40.25940288327001
300,68.26064831009019,40.25940288327001
