,Neutral,Avoid,Paved,Mean,Mean Change
50,222.44478011131287,222.44478011131287,231.0030746459961,225.29754495620728,
55,212.1588912010193,212.1588912010193,216.49170780181885,213.6031634012858,-11.694381554921478
60,202.2137336730957,202.2137336730957,218.36536812782288,207.59761182467142,-6.00555157661438
65,194.3140993118286,194.3140993118286,209.19475317001343,199.27431726455688,-8.323294560114533
70,187.0024015903473,187.0024015903473,199.1523518562317,191.05238501230875,-8.221932252248138
75,169.4067394733429,169.4067394733429,186.22364687919617,175.01237527529398,-16.04000973701477
80,165.50492691993713,165.50492691993713,175.4268274307251,168.8122270901998,-6.200148185094179
85,157.7398021221161,157.7398021221161,168.93146467208862,161.47035630544028,-7.3418707847595215
90,152.11754035949707,152.11754035949707,162.73356008529663,155.65621360143027,-5.81414270401001
95,145.3976972103119,145.3976972103119,158.99830555915833,149.93123332659403,-5.724980274836241
100,139.7810297012329,139.7810297012329,157.1038658618927,145.55530842145285,-4.375924905141176
105,133.02506017684937,133.02506017684937,146.01259088516235,137.35423707962036,-8.201071341832488
110,130.528555393219,130.528555393219,147.73620343208313,136.26443807284036,-1.089799006779998
115,129.91045594215393,129.91045594215393,143.026211977005,134.28237462043762,-1.9820634524027412
120,123.53495907783508,123.53495907783508,140.70549845695496,129.25847220420837,-5.023902416229248
125,124.82184481620789,124.82184481620789,135.09307861328125,128.24558941523233,-1.012882788976043
130,124.4078803062439,124.4078803062439,125.31215643882751,124.70930568377177,-3.536283731460557
135,122.3869833946228,122.3869833946228,123.89999175071716,122.89131951332092,-1.817986170450851
140,122.83645462989807,122.83645462989807,126.11298704147339,123.92863210042317,1.0373125871022495
145,116.01778268814087,116.01778268814087,121.6695909500122,117.90171877543132,-6.0269133249918525
150,115.51420879364014,115.51420879364014,115.70565271377563,115.5780234336853,-2.323695341746017
155,110.74570226669312,110.74570226669312,116.5368001461029,112.67606822649638,-2.9019552071889194
160,127.631516456604,127.631516456604,115.20563888549805,123.48955726623535,10.813489039738968
165,109.70086431503296,109.70086431503296,108.92387843132019,109.44186902046204,-14.047688245773315
170,107.03801679611206,107.03801679611206,110.90102910995483,108.32568756739299,-1.1161814530690464
175,105.78696179389954,105.78696179389954,110.32130455970764,107.29840938250224,-1.027278184890747
180,99.22465324401855,99.22465324401855,107.16406869888306,101.87112506230672,-5.427284320195525
185,96.91169142723083,96.91169142723083,97.87005186080933,97.23114490509033,-4.639980157216385
190,92.32498860359192,92.32498860359192,95.26610684394836,93.3053613503774,-3.925783554712936
195,90.55394625663757,90.55394625663757,89.49803137779236,90.20197463035583,-3.103386720021561
200,86.44889831542969,86.44889831542969,90.72619342803955,87.87466335296631,-2.3273112773895264
