,Neutral,Avoid,Paved,Mean,Mean Change
50,12.0,12.0,13.0,12.333333333333334,
55,12.0,12.0,13.0,12.333333333333334,0.0
60,12.0,12.0,13.0,12.333333333333334,0.0
65,11.0,11.0,13.0,11.666666666666666,-0.6666666666666679
70,9.0,9.0,12.0,10.0,-1.666666666666666
75,10.0,10.0,10.0,10.0,0.0
80,11.0,11.0,9.0,10.333333333333334,0.3333333333333339
85,11.0,11.0,9.0,10.333333333333334,0.0
90,11.0,11.0,9.0,10.333333333333334,0.0
95,10.0,10.0,8.0,9.333333333333334,-1.0
100,9.0,9.0,6.0,8.0,-1.333333333333334
105,8.0,8.0,5.0,7.0,-1.0
110,5.0,5.0,5.0,5.0,-2.0
115,5.0,5.0,5.0,5.0,0.0
120,5.0,5.0,5.0,5.0,0.0
125,5.0,5.0,5.0,5.0,0.0
130,5.0,5.0,2.0,4.0,-1.0
135,5.0,5.0,2.0,4.0,0.0
140,5.0,5.0,2.0,4.0,0.0
145,3.0,3.0,2.0,2.6666666666666665,-1.3333333333333335
150,3.0,3.0,2.0,2.6666666666666665,0.0
155,3.0,3.0,2.0,2.6666666666666665,0.0
160,3.0,3.0,2.0,2.6666666666666665,0.0
165,3.0,3.0,2.0,2.6666666666666665,0.0
170,3.0,3.0,4.0,3.3333333333333335,0.666666666666667
175,3.0,3.0,4.0,3.3333333333333335,0.0
180,3.0,3.0,1.0,2.3333333333333335,-1.0
185,3.0,3.0,1.0,2.3333333333333335,0.0
190,3.0,3.0,1.0,2.3333333333333335,0.0
195,3.0,3.0,0.0,2.0,-0.3333333333333335
200,3.0,3.0,0.0,2.0,0.0
