,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
Elapsed time,222.44478011131287,212.1588912010193,202.2137336730957,194.3140993118286,187.0024015903473,169.4067394733429,165.50492691993713,157.7398021221161,152.11754035949707,145.3976972103119,139.7810297012329,133.02506017684937,130.528555393219,129.91045594215393,123.53495907783508,124.82184481620789,124.4078803062439,122.3869833946228,122.83645462989807,116.01778268814087,115.51420879364014,110.74570226669312,127.631516456604,109.70086431503296,107.03801679611206,105.78696179389954,99.22465324401855,96.91169142723083,92.32498860359192,90.55394625663757,86.44889831542969
Number of paths,12.0,12.0,12.0,11.0,9.0,10.0,11.0,11.0,11.0,10.0,9.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Average paths badness,170.5217129997145,170.5217129997145,170.5217129997145,171.27563249767562,153.64269519935786,149.89451445127798,153.1270592089462,153.1270592089462,153.1270592089462,152.3261457864406,161.87668736265107,167.59116231816256,173.1325869978322,173.1325869978322,173.1325869978322,173.1325869978322,173.1325869978322,173.1325869978322,173.1325869978322,190.24457716937772,190.24457716937772,191.18907519725266,191.18907519725266,191.18907519725266,190.24457716937772,190.24457716937772,190.24457716937772,190.24457716937772,190.24457716937772,190.24457716937772,190.24457716937772
