,Neutral,Avoid,Paved,Mean,Mean Change
50,18.0,18.0,13.0,16.333333333333332,
60,16.0,16.0,12.0,14.666666666666666,-1.666666666666666
70,18.0,18.0,12.0,16.0,1.333333333333334
80,13.0,13.0,11.0,12.333333333333334,-3.666666666666666
90,11.0,11.0,11.0,11.0,-1.333333333333334
100,9.0,9.0,9.0,9.0,-2.0
110,10.0,10.0,8.0,9.333333333333334,0.3333333333333339
120,6.0,6.0,6.0,6.0,-3.333333333333334
130,9.0,9.0,6.0,8.0,2.0
140,6.0,6.0,7.0,6.333333333333333,-1.666666666666667
150,6.0,6.0,6.0,6.0,-0.33333333333333304
160,6.0,6.0,6.0,6.0,0.0
170,6.0,6.0,5.0,5.666666666666667,-0.33333333333333304
180,6.0,6.0,5.0,5.666666666666667,0.0
190,6.0,6.0,5.0,5.666666666666667,0.0
200,7.0,7.0,7.0,7.0,1.333333333333333
210,7.0,7.0,7.0,7.0,0.0
220,7.0,7.0,7.0,7.0,0.0
230,6.0,6.0,7.0,6.333333333333333,-0.666666666666667
240,6.0,6.0,7.0,6.333333333333333,0.0
250,7.0,7.0,5.0,6.333333333333333,0.0
260,5.0,5.0,6.0,5.333333333333333,-1.0
270,4.0,4.0,4.0,4.0,-1.333333333333333
280,4.0,4.0,3.0,3.6666666666666665,-0.3333333333333335
290,4.0,4.0,3.0,3.6666666666666665,0.0
300,3.0,3.0,3.0,3.0,-0.6666666666666665
