,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,15.934658288955688,16.535828590393066,38.52234745025635,15.791321039199829,13.817932844161987,40.63965654373169,11.060306072235107,8.93897008895874,11.088409423828125,13.026161670684814,19.902089834213257,6.296450853347778,16.87574553489685,25.395679473876953,21.095978260040283,11.820149421691895,18.759183406829834,23.68058967590332,5.869808912277222,3.5457515716552734
Number of paths,2.0,0.0,5.0,1.0,0.0,7.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Average paths badness,58.16398744317803,,78.17238696241893,114.51384480026172,,45.06727867362198,,59.831395162435,48.29845037823816,97.80247609410587,,70.2686522528038,34.449550742404426,76.24242425830107,66.04599642426092,,,,67.46285346480727,
Avg. number of stoplights,17.0,,11.6,2.0,,36.714285714285715,,10.0,13.0,10.0,,10.0,12.333333333333334,4.0,18.0,,,,15.0,
Avg. number of steps,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,
Avg. number of paved edges,44.5,,37.6,12.0,,72.0,,38.0,74.0,25.0,,46.0,75.0,25.0,56.0,,,,37.0,
Avg. number of unpaved edges,0.0,,0.2,1.0,,0.0,,0.0,0.0,0.3333333333333333,,0.0,0.0,1.0,2.0,,,,0.0,
Avg. number of edges with unknown surface,27.5,,44.0,43.0,,48.857142857142854,,38.0,48.0,45.333333333333336,,50.0,32.0,53.0,52.0,,,,24.0,
