,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,45.468475580215454,67.62700390815735,109.0046854019165,23.466946601867676,8.329479694366455,259.39363622665405,36.78747034072876,34.94115591049194,16.96501874923706,40.259153604507446,86.37868571281433,12.727150917053223,79.41808009147644,84.30332159996033,60.982354164123535,15.965797424316406,45.272136211395264,71.0966899394989,23.609413623809814,12.133436918258667
Number of paths,0.0,1.0,0.0,0.0,0.0,11.0,1.0,2.0,0.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0
Average paths badness,,161.66270319115938,,,,102.29952512754657,212.19500275974679,189.40521405298205,,157.9847801800188,156.45958423830658,133.4929716150982,88.86555607776927,158.19884653007648,170.95566372643165,,,,134.2951235825567,223.10749002439115
Avg. number of stoplights,,31.0,,,,53.36363636363637,6.0,17.0,,30.0,25.333333333333332,27.0,37.0,24.0,18.666666666666668,,,,25.0,7.0
Avg. number of steps,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Avg. number of paved edges,,99.0,,,,128.1818181818182,53.0,48.5,,64.5,77.66666666666667,70.0,131.75,73.0,62.333333333333336,,,,68.0,32.0
Avg. number of unpaved edges,,6.0,,,,0.36363636363636365,8.0,10.5,,0.0,0.3333333333333333,1.0,0.0,1.0,7.0,,,,1.0,6.0
Avg. number of edges with unknown surface,,121.0,,,,86.54545454545455,106.0,78.5,,89.0,101.33333333333333,107.0,68.25,101.0,98.66666666666667,,,,73.0,67.0
