,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,35.01657462120056,26.377856254577637,47.51847290992737,15.919817447662354,28.859166383743286,65.29701399803162,20.240558624267578,9.648266553878784,14.262764692306519,28.65436291694641,28.606159210205078,8.939057350158691,24.316405534744263,43.782222509384155,26.288662433624268,20.575722455978394,32.61547660827637,48.557374000549316,7.681172847747803,3.097242832183838
Number of paths,7.0,4.0,21.0,4.0,2.0,21.0,2.0,4.0,2.0,14.0,4.0,5.0,10.0,6.0,9.0,6.0,5.0,5.0,0.0,0.0
Average paths badness,101.24619000423652,10.457245383719965,46.63736770135641,10.232806386705079,11.745554179927694,57.06641003709245,31.573790899371488,18.724128265305353,58.52954521258471,14.689830583098878,37.64261079555126,45.435849885915744,55.2319587832777,7.224532095509251,23.023554544688725,9.534270911230578,61.96571811353242,10.092822147094921,,
Avg. number of stoplights,16.857142857142858,3.0,11.666666666666666,2.5,6.0,19.238095238095237,12.5,4.0,12.0,4.714285714285714,9.5,10.2,15.8,4.333333333333333,6.111111111111111,3.3333333333333335,18.4,3.6,,
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avg. number of paved edges,31.285714285714285,50.0,42.142857142857146,11.0,13.5,77.85714285714286,49.0,33.5,72.5,21.571428571428573,26.5,43.6,83.3,27.666666666666668,38.0,10.666666666666666,77.4,19.6,,
Avg. number of unpaved edges,0.0,5.0,0.09523809523809523,1.25,3.0,0.09523809523809523,2.5,0.5,0.0,0.14285714285714285,0.25,0.2,0.0,0.0,0.2222222222222222,0.6666666666666666,0.2,0.2,,
Avg. number of edges with unknown surface,31.142857142857142,64.5,53.57142857142857,41.25,33.0,49.80952380952381,56.5,40.0,51.0,45.07142857142857,49.25,49.0,36.6,48.333333333333336,54.0,37.333333333333336,36.0,56.0,,
