,Avoid,Paved
50,160.9889115493455,100.5702929261645
55,150.7430550760928,100.97780806803588
60,150.7430550760928,100.0302470845103
65,156.0806632129461,100.41641952384758
70,157.60814221155073,99.79072902586789
75,173.06471779179978,101.77283872426891
80,173.06471779179978,101.20769477631902
85,173.06471779179978,101.20769477631902
90,170.34876812146484,101.55736918225634
95,165.19683531305145,102.42024868847531
100,165.19683531305145,102.42024868847531
105,154.60655535333555,103.90433037395248
110,154.60655535333555,103.69831525459426
115,154.60655535333555,102.71930981388104
120,154.60655535333555,104.08652928668539
125,154.60655535333555,103.96632720534808
130,154.60655535333555,103.96632720534808
135,154.60655535333555,102.59109426045458
140,154.60655535333555,102.59109426045458
145,154.60655535333555,102.61559467151201
150,154.60655535333555,102.61559467151201
155,170.99832495505143,102.61559467151201
160,170.99832495505143,102.61559467151201
165,153.83114741198733,102.61559467151201
170,153.83114741198733,102.61559467151201
175,153.83114741198733,99.89228545109043
180,153.83114741198733,99.89228545109043
185,141.90728327158,98.49310029389672
190,141.90728327158,98.49310029389672
195,142.37468979480627,97.97786948278946
200,142.37468979480627,97.33185490375838
