,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,63.59544563293457,60.661064863204956,50.66132044792175,43.78105568885803,42.0577871799469,37.3581748008728,32.285428047180176,30.295058727264404,27.989386796951294,25.403573513031006,24.777166604995728
Number of paths,18.0,18.0,18.0,19.0,18.0,18.0,19.0,19.0,18.0,19.0,18.0
Average paths badness,74.81562841018341,74.81562841018341,74.95072247824464,72.0385843878125,74.81562841018336,70.02966044072815,69.17886818026042,69.17886818026042,69.4344160035628,71.78853650858022,72.78431034284348
