,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,61.30800771713257,58.67219662666321,51.22508502006531,42.851733684539795,41.89366340637207,35.21685314178467,30.843773365020752,28.675909519195557,27.603946924209595,25.061824321746826,24.630662202835083
Number of paths,15.0,15.0,15.0,15.0,15.0,13.0,11.0,11.0,11.0,13.0,13.0
Average paths badness,46.15058372102121,46.15058372102121,46.15058372102121,46.15058372102121,46.15058372102121,46.75691839773383,45.27230650219653,45.27230650219653,45.27230650219653,43.79904284827451,43.79904284827451
