,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,310.9029233455658,276.0207805633545,252.0039370059967,214.20764064788818,194.2777979373932,171.69508171081543,160.71645045280457,144.0929410457611,138.4757363796234,130.47937726974487,127.99031519889832
Number of paths,13.0,13.0,13.0,13.0,13.0,15.0,15.0,16.0,16.0,16.0,16.0
