,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,67.90935683250427,31.990031719207764,35.27439737319946,17.483198642730713,37.05739164352417,8.246774196624756,27.889573574066162,29.807076454162598,95.56027126312256,41.402801513671875
Number of paths,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Average paths badness,4411.245232491032,,,,,,,,4112.9216924012635,
Avg. number of stoplights,59.0,,,,,,,,110.0,
Avg. number of steps,0.0,,,,,,,,0.0,
Avg. number of paved edges,154.0,,,,,,,,167.0,
Avg. number of unpaved edges,2.0,,,,,,,,0.0,
Avg. number of edges with unknown surface,130.0,,,,,,,,136.0,
