,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,1.9806015491485596,1.29329252243042,3.755777359008789,3.7851738929748535,1.5606911182403564,4.757313251495361,1.5144987106323242,2.7180051803588867,1.5130689144134521,3.904773235321045,2.7170279026031494,1.2891879081726074,2.052950143814087,2.308163642883301,3.8825645446777344,1.2328600883483887,3.244758129119873,1.6145765781402588,2.7979156970977783,0.9162914752960205
Number of paths,1.0,1.0,3.0,4.0,3.0,2.0,4.0,0.0,2.0,6.0,4.0,2.0,3.0,2.0,6.0,1.0,2.0,2.0,0.0,0.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avg. number of stoplights,9.0,0.0,6.333333333333333,2.5,0.0,10.0,5.5,,1.0,0.0,1.5,7.0,4.0,5.0,2.6666666666666665,4.0,5.5,1.0,,
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avg. number of paved edges,22.0,41.0,18.666666666666668,4.75,4.0,31.5,24.0,,24.5,15.166666666666666,6.5,26.0,32.0,9.5,21.333333333333332,5.0,19.0,3.0,,
Avg. number of unpaved edges,0.0,0.0,0.0,0.25,2.0,0.0,0.0,,0.0,4.666666666666667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,
Avg. number of edges with unknown surface,14.0,24.0,24.666666666666668,25.75,16.666666666666668,16.0,34.0,,24.0,27.833333333333332,14.5,20.5,20.666666666666668,27.5,23.666666666666668,24.0,21.5,27.0,,
