,"(16.347453307518535, 48.175795107835704)","(16.306063307426022, 48.2244710079415)","(16.33485990749046, 48.18647560785937)","(16.437321207717943, 48.14339110775662)","(16.37543190758027, 48.202225407886274)","(16.434274407709545, 48.29484480806843)","(16.437110507717232, 48.17172900781501)","(16.416814407671126, 48.274647908029436)","(16.288538207387315, 48.206792507907494)","(16.267663107341004, 48.19985460789603)","(16.28567970738132, 48.18042720785359)","(16.360847207548247, 48.175038007832306)","(16.44943960774359, 48.259830907994434)","(16.40084560763678, 48.18658450785059)","(16.40840850765365, 48.174642407824976)","(16.35558860753663, 48.170731407824185)","(16.389733807611982, 48.20210890788408)","(16.38428960760046, 48.15096760777953)","(16.30895190743317, 48.168466307825774)","(16.254420307312014, 48.166939907829956)","(16.418660907676387, 48.17176520781766)","(16.387026507606336, 48.17064930781968)","(16.440134407724052, 48.156791007783816)","(16.36790500756398, 48.16787110781657)","(16.398927107632137, 48.222284807924325)","(16.431230807704235, 48.16946280781115)","(16.33719610749572, 48.18101590784784)","(16.42463440768895, 48.23481820794651)","(16.36013000754578, 48.24706800798062)","(16.24943910730087, 48.17221720784152)","(16.307113907428903, 48.18363040785731)","(16.38377460759882, 48.198342407877156)","(16.32910710747669, 48.260926208013345)","(16.380290907591416, 48.16932290781788)","(16.40939620765441, 48.294506808071226)","(16.289872507390918, 48.15815690780712)","(16.348906007520995, 48.236968507961386)","(16.376775107582805, 48.239098307961946)","(16.473865807798138, 48.21496860789885)","(16.40338170764132, 48.276493808035084)","(16.45054950774639, 48.2305831079342)","(16.448025507740535, 48.25342910798151)","(16.377539407584408, 48.24667230797739)","(16.39105240761417, 48.26161610800627)","(16.38174370759429, 48.20093200788277)","(16.26822020734257, 48.17616080784712)","(16.338922207499166, 48.21160120791056)","(16.328073107475912, 48.14249660776969)","(16.352760007529817, 48.216712007919206)","(16.419713507677553, 48.27477920802929)","(16.304270707422834, 48.16327720781576)","(16.361301807548948, 48.20166380788706)","(16.30515160742479, 48.16333350781572)","(16.281824507371912, 48.23978930797632)","(16.472191807794022, 48.25432770797996)","(16.41300360766267, 48.275526708031755)","(16.302961707418415, 48.271770908039194)","(16.31810980745326, 48.18779810786438)","(16.29810780740879, 48.19116050787401)","(16.432650307705984, 48.292508408063874)","(16.453671207753356, 48.22508010792246)","(16.303521507420896, 48.18534600786132)","(16.303477507420798, 48.18540590786144)","(16.392242307617607, 48.19658450787239)","(16.361339807549243, 48.184043007850796)","(16.387175907606675, 48.168512707815275)","(16.369804907567584, 48.22019260792403)","(16.32141420745986, 48.24319770797795)","(16.461742307771313, 48.21590190790248)","(16.369208807566515, 48.19875060787998)","(16.459279507765316, 48.265216608004145)","(16.464974407778012, 48.25755200798759)","(16.29623510740513, 48.15133290779218)","(16.433354607708605, 48.20344400788079)","(16.365408807558428, 48.16885620781896)","(16.461068307769526, 48.24373300795974)","(16.300076307412983, 48.20525760790279)","(16.43409200770916, 48.29397760806669)","(16.428925907699206, 48.16177300779562)","(16.43760660771694, 48.29423020806671)","(16.227661407251816, 48.21303440792849)","(16.44691030773792, 48.26513590800571)","(16.493298107840932, 48.233289307933795)","(16.397329807629394, 48.14547090776641)","(16.271088607348624, 48.199823707895504)","(16.435521607713856, 48.15607770778301)","(16.34429070751064, 48.244449007977394)","(16.364019407555453, 48.158711807798234)","(16.43637940771421, 48.295336308069146)","(16.35759750754008, 48.252100407991314)","(16.319133107455844, 48.16180730781071)","(16.29836180740987, 48.150137807789434)","(16.283564407376865, 48.161096907814006)","(16.28115910737033, 48.2468317079909)","(16.452980707751315, 48.27022190801528)","(16.30823220743085, 48.22332590793887)","(16.20863000720961, 48.20193670790818)","(16.46105680776956, 48.237765707947496)","(16.307887407429877, 48.23792730796895)","(16.346175007516113, 48.13679910775549)"
Elapsed time,113.25167489051819,73.64016652107239,120.90011167526245,10.042385339736938,115.71858072280884,12.27350902557373,30.817512035369873,24.609280824661255,69.0205934047699,49.04954791069031,60.899646520614624,126.45371556282043,33.55409812927246,78.1118061542511,82.8366916179657,131.35797572135925,101.31212067604065,55.05789399147034,94.52937650680542,22.09855079650879,54.68786358833313,106.32848596572876,21.59107232093811,99.4611165523529,40.288798332214355,37.317386865615845,114.58256649971008,28.248278379440308,59.623815059661865,23.2954318523407,72.27538776397705,102.59866428375244,17.890267372131348,99.80667018890381,9.487586975097656,53.341939210891724,111.69108819961548,50.00725483894348,15.259831190109253,26.378239393234253,32.51189923286438,41.619713306427,20.16048264503479,26.40290856361389,99.73468017578125,40.672954082489014,146.86260175704956,39.96788144111633,120.93604230880737,20.246100425720215,75.54842519760132,149.74167609214783,78.83537244796753,24.595722198486328,25.41084575653076,23.73401379585266,6.883293867111206,120.62691473960876,75.72502446174622,13.661683797836304,34.51001453399658,80.59576225280762,81.72632575035095,84.51936888694763,140.53093004226685,98.18982434272766,86.6512680053711,45.708521127700806,13.990254878997803,151.7864215373993,22.974544525146484,32.583730936050415,62.45153737068176,3.7626900672912598,105.43994140625,43.168984174728394,80.47629284858704,16.12712335586548,30.97140407562256,12.342628955841064,7.9330809116363525,33.490235567092896,23.02196717262268,22.989614725112915,45.63824796676636,18.817133903503418,60.89398550987244,99.31940174102783,11.63723373413086,30.035354137420654,71.72091007232666,61.15107846260071,59.02332162857056,14.026660680770874,27.318799257278442,68.74995636940002,2.1572208404541016,45.533769845962524,62.19783854484558,14.334763050079346
Number of paths,14.0,28.0,31.0,0.0,18.0,1.0,4.0,1.0,17.0,17.0,8.0,16.0,1.0,10.0,15.0,22.0,16.0,9.0,12.0,6.0,4.0,17.0,3.0,13.0,5.0,6.0,23.0,1.0,19.0,5.0,12.0,21.0,0.0,13.0,2.0,10.0,29.0,10.0,1.0,0.0,2.0,4.0,4.0,1.0,17.0,12.0,32.0,10.0,21.0,0.0,9.0,20.0,14.0,8.0,1.0,2.0,9.0,31.0,22.0,1.0,5.0,20.0,21.0,12.0,26.0,9.0,11.0,7.0,1.0,21.0,3.0,6.0,17.0,0.0,15.0,3.0,20.0,2.0,1.0,2.0,4.0,1.0,5.0,5.0,12.0,1.0,12.0,23.0,3.0,5.0,9.0,17.0,14.0,6.0,4.0,16.0,0.0,9.0,16.0,3.0
Average paths badness,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Avg. number of stoplights,45.0,26.964285714285715,49.193548387096776,,59.22222222222222,2.0,21.0,30.0,20.058823529411764,11.058823529411764,20.625,39.125,19.0,50.9,31.6,48.13636363636363,52.1875,16.77777777777778,31.333333333333332,6.5,27.75,28.764705882352942,17.333333333333332,42.38461538461539,48.6,17.5,41.17391304347826,41.0,28.31578947368421,7.8,26.916666666666668,55.57142857142857,,38.53846153846154,20.5,16.9,42.96551724137931,50.4,24.0,,38.0,28.25,35.75,38.0,52.94117647058823,9.916666666666666,38.375,33.7,45.714285714285715,,23.0,54.65,23.642857142857142,10.5,23.0,36.0,0.0,56.45161290322581,23.727272727272727,24.0,22.6,34.45,33.333333333333336,43.166666666666664,50.69230769230769,29.11111111111111,53.45454545454545,27.285714285714285,0.0,53.904761904761905,14.333333333333334,20.333333333333332,22.470588235294116,,38.46666666666667,17.666666666666668,24.6,5.5,20.0,2.0,3.0,38.0,16.4,28.4,13.583333333333334,14.0,35.416666666666664,29.608695652173914,3.6666666666666665,20.0,41.333333333333336,29.58823529411765,13.5,4.333333333333333,20.0,34.625,,23.666666666666668,16.3125,9.666666666666666
Avg. number of steps,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Avg. number of paved edges,108.92857142857143,61.32142857142857,99.19354838709677,,130.77777777777777,4.0,73.75,61.0,61.0,38.529411764705884,66.875,93.75,63.0,132.6,86.73333333333333,91.86363636363636,157.25,59.888888888888886,90.5,49.833333333333336,91.75,94.17647058823529,44.333333333333336,93.61538461538461,142.4,79.0,115.3913043478261,62.0,94.52631578947368,35.8,69.91666666666667,140.9047619047619,,97.0,44.5,61.6,103.3103448275862,120.5,41.0,,80.5,51.75,112.0,101.0,148.23529411764707,46.666666666666664,91.75,68.9,123.66666666666667,,64.88888888888889,112.0,80.07142857142857,37.75,60.0,64.0,20.666666666666668,93.45161290322581,68.0909090909091,50.0,45.2,82.25,81.52380952380952,133.33333333333334,115.23076923076923,73.77777777777777,123.27272727272727,73.42857142857143,9.0,119.38095238095238,23.666666666666668,43.166666666666664,66.94117647058823,,97.0,54.666666666666664,56.85,14.0,90.0,7.0,35.5,67.0,33.4,62.4,42.916666666666664,41.0,103.08333333333333,79.08695652173913,18.0,85.8,82.55555555555556,72.94117647058823,51.142857142857146,35.333333333333336,33.75,69.375,,39.0,63.4375,53.333333333333336
Avg. number of unpaved edges,0.8571428571428571,3.142857142857143,1.064516129032258,,0.1111111111111111,14.0,2.0,0.0,2.2941176470588234,4.294117647058823,1.5,1.3125,1.0,1.8,1.2,1.0909090909090908,0.4375,1.5555555555555556,2.9166666666666665,6.666666666666667,0.75,1.0,0.0,1.3076923076923077,0.2,2.3333333333333335,0.9565217391304348,0.0,0.5263157894736842,7.6,3.6666666666666665,0.47619047619047616,,1.2307692307692308,1.5,2.1,0.3448275862068966,0.2,0.0,,0.0,0.5,1.25,1.0,1.1764705882352942,3.75,0.21875,2.6,0.23809523809523808,,0.7777777777777778,0.1,0.7142857142857143,3.75,4.0,0.0,15.11111111111111,1.1290322580645162,2.3181818181818183,2.0,0.8,5.5,6.9523809523809526,0.5833333333333334,1.0769230769230769,1.3333333333333333,0.45454545454545453,4.285714285714286,8.0,0.47619047619047616,0.0,0.5,2.0588235294117645,,1.7333333333333334,1.6666666666666667,3.7,10.5,0.0,41.0,9.5,0.0,0.0,0.4,4.416666666666667,0.0,1.1666666666666667,1.434782608695652,4.0,0.2,1.6666666666666667,2.235294117647059,4.5,5.5,0.0,1.1875,,1.2222222222222223,3.125,2.6666666666666665
Avg. number of edges with unknown surface,113.42857142857143,92.07142857142857,87.03225806451613,,84.33333333333333,51.0,89.75,77.0,83.6470588235294,87.23529411764706,95.75,97.5625,97.0,92.9,83.13333333333334,96.81818181818181,85.1875,108.55555555555556,89.41666666666667,84.0,93.0,92.94117647058823,86.33333333333333,96.53846153846153,83.2,92.0,85.69565217391305,84.0,69.52631578947368,86.6,100.75,89.33333333333333,,91.23076923076923,74.5,89.0,80.24137931034483,66.7,80.0,,73.5,68.0,81.0,87.0,84.52941176470588,97.25,94.3125,99.7,94.57142857142857,,109.33333333333333,89.65,104.28571428571429,76.75,73.0,95.0,59.44444444444444,85.16129032258064,85.13636363636364,72.0,75.0,83.55,86.47619047619048,83.33333333333333,89.84615384615384,87.22222222222223,69.54545454545455,73.14285714285714,56.0,105.0952380952381,55.666666666666664,66.33333333333333,91.94117647058823,,92.8,76.33333333333333,87.5,51.0,77.0,64.0,73.5,78.0,78.4,100.2,84.75,97.0,70.58333333333333,95.52173913043478,70.33333333333333,76.8,94.88888888888889,87.52941176470588,101.14285714285714,87.5,68.25,96.625,,82.55555555555556,82.1875,88.66666666666667
