Setting,Elapsed time,N Paths,N stoplights,N steps,N paved edges,N unpaved edges,N unknown edge surfaces,Path badness
neutral,57.42073362350464,10.27,28.31049050198821,0.002127659574468,73.5814093113838,2.616089278790827,84.60911526098616,
avoid,51.55739524364471,8.85,21.92824484547615,0.0037453183520599,72.61527209032548,2.7677351002466555,85.90712164459046,96.11007651339666
prefer,50.50688029050827,7.82,30.086421935890545,0.0031746031746031,78.75180325605912,1.8585618127724872,81.15301848599586,146.87451274890418
paved,18.533750281333923,1.96,37.336213422279,0.0,80.0224286187401,2.5628640030279373,83.56649043124453,2958.1205977737573
